system,seed,train_fraction,horizon,n_eval_starts,relative_association_error,association_r2,simplex_violation
vanderpol,2,0.25,50,1151,0.10686729667207102,0.8704029283597708,0.10049880565843927
vanderpol,2,0.25,100,1101,0.17982018489124757,0.7806928347628472,0.08888697092622277
vanderpol,2,0.25,200,1001,0.19029455090850653,0.770308588097421,0.06580710877849454
vanderpol,2,0.5,1,800,0.002090904032565225,0.9974156489429429,0.02198298028293234
vanderpol,2,0.5,10,791,0.016799139841058627,0.9791892789675003,0.07988203031010808
vanderpol,2,0.5,50,751,0.08654382152977552,0.8930332134965049,0.09337490298658492
vanderpol,2,0.5,100,701,0.1896257053973394,0.7691729415272877,0.09338778352802399
vanderpol,2,0.5,200,601,0.1650457479627771,0.7958348082404508,0.0550685691821039
vanderpol,2,0.75,1,400,0.0023862199668524147,0.9970469417875345,0.018751673699561055
vanderpol,2,0.75,10,391,0.01668557595682394,0.9794575648888072,0.06957870027735476
vanderpol,2,0.75,50,351,0.08651392473553901,0.8954601386765271,0.08904649832611769
vanderpol,2,0.75,100,301,0.16928587664026043,0.7905170763147924,0.0729907017774943
vanderpol,2,0.75,200,201,0.21661740012219716,0.7097924862201817,0.05065815213945476
