task,regime,count,mass_fraction,mean_membership,reward_mean,termination_rate,truncation_rate,terminal_risk_within_25,empirical_persistence,learned_persistence,state0_mean,state0_std,state1_mean,state1_std,state2_mean,state2_std,state3_mean,state3_std,action_0_rate,action_1_rate,action_2_rate
CartPole-v1,70,2,0.002,0.02391269839321323,1.0,0.0,0.0,0.0,0.0,0.9280559993301561,-0.13809134811162949,0.0035811439156532288,0.21796392649412155,0.0003366544842720032,-0.001851700246334076,0.0067780399695038795,-0.4508550316095352,0.007418975234031677,1.0,0.0,
CartPole-v1,71,6,0.006,0.02246298502210943,1.0,0.0,0.0,0.0,0.0,0.9257238764377413,0.19179123640060425,0.008578820665193962,-0.03685601117710272,6.657063672640764e-05,-0.003448776522418484,0.002496687139858668,0.20564247419436774,0.0014705947396791695,0.0,1.0,
CartPole-v1,72,1,0.001,0.03395268666609262,1.0,0.0,0.0,0.0,0.0,0.9789258537996095,0.21418675780296326,0.0,0.5486619472503662,0.0,-0.009120028465986252,0.0,-0.675768256187439,0.0,1.0,0.0,
CartPole-v1,73,0,0.0,nan,nan,nan,nan,nan,0.0,0.9295541811902902,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
CartPole-v1,74,0,0.0,nan,nan,nan,nan,nan,0.0,0.9133406884496349,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
CartPole-v1,75,24,0.024,0.023752839777247164,1.0,0.0,0.0,0.0,0.0,0.8304622893875766,-0.013550869567552581,0.009832926684037138,-0.028077027682835858,0.001018368955047334,-0.003008681012336941,0.007223975753047491,0.012011329798648754,0.022464976902729705,0.5,0.5,
CartPole-v1,76,25,0.025,0.023843508920861733,1.0,0.0,0.0,0.0,0.0,0.9299282638643183,0.15041095435619353,0.010500776778941671,0.2385845786333084,0.0023244819724284444,0.0026041033793444512,0.002417766194583846,-0.3135917115211487,0.0075791357532613264,1.0,0.0,
CartPole-v1,77,12,0.012,0.023582254019497453,1.0,0.0,0.0,0.0,0.0,0.9427207162082522,-0.05154211353510618,0.015911811439234612,-0.22353150571386018,0.0004891651829541983,0.004262891811473916,0.019030996787186054,0.3120899597803752,0.010965396602912663,0.16666666666666666,0.8333333333333334,
CartPole-v1,78,7,0.007,0.030120568535067695,1.0,0.0,0.0,0.0,0.0,0.9762021164826806,-0.42191088625362944,0.04744061168206358,-0.3657862288611276,0.00023538461324897463,-0.004266494053549,0.0035557425131738656,0.39158076473644804,0.005191380113997891,0.0,1.0,
CartPole-v1,79,54,0.054,0.02241897576010054,1.0,0.0,0.0,0.0,0.0,0.9465354889184849,0.1304420621858703,0.008346288864097138,0.045674852199024625,0.002175029560021297,0.000627676092672455,0.007058481359664274,-0.04294147359690181,0.022923559949690316,0.6666666666666666,0.3333333333333333,
CartPole-v1,80,0,0.0,nan,nan,nan,nan,nan,0.0,0.9331076137178685,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
CartPole-v1,81,4,0.004,0.024553072490906144,1.0,0.0,0.0,0.0,0.0,0.9698880081712021,-0.32333189994096756,0.006243681322281629,-0.17023320123553276,6.792990882101908e-05,-0.0006436218100134283,0.0034791796052696393,0.08937331661581993,0.0014987065859532055,0.25,0.75,
CartPole-v1,82,0,0.0,nan,nan,nan,nan,nan,0.0,0.9580809702568908,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
CartPole-v1,83,0,0.0,nan,nan,nan,nan,nan,0.0,0.9779487360912366,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
CartPole-v1,84,43,0.043,0.022706035803324913,1.0,0.0,0.0,0.0,0.0,0.9125098430991446,0.15108778310376544,0.01374331839506172,-0.15108738839626312,0.002237773277730862,-0.002895897831348161,0.0030340311690530827,0.2668515402217244,0.007696062246242509,0.023255813953488372,0.9767441860465116,
CartPole-v1,85,14,0.014,0.02137824530232462,1.0,0.0,0.0,0.0,0.0,0.9373762590606802,0.04356674623808691,0.019023106214924673,-0.03738871216773987,0.0012449846541434746,-0.008098363310896925,0.008855408717205322,0.21741312529359544,0.027474007526519295,0.14285714285714285,0.8571428571428571,
CartPole-v1,86,0,0.0,nan,nan,nan,nan,nan,0.0,0.9838663836180883,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
