n_clusters,omega,noise_level,horizon,n_runs,relative_association_error_mean,relative_association_error_std,relative_association_error_min,relative_association_error_max,association_r2_mean,association_r2_std,simplex_violation_mean,simplex_violation_max,fit_seconds_mean
10,2.0,0.0,1,3,0.0013584193740257392,9.41714680410541e-05,0.0012553855304926367,0.001483014462193809,0.9976203916379669,0.00016494222594673935,0.00025357325370807266,0.0004626148854493513,0.5732317765553793
10,2.0,0.0,10,3,0.019855544754381085,0.0005254982084019942,0.019151854225329352,0.02041436170789539,0.9654268241634925,0.0009373786398913524,0.0346045977509885,0.03841861816943135,0.5732317765553793
10,2.0,0.0,50,3,0.07866651170275786,0.0017657411295254174,0.07731857561743935,0.08116093678615406,0.8667454456453498,0.0030457317876456396,0.061403028445782076,0.06877659086470508,0.5732317765553793
10,2.0,0.0,100,3,0.11834820199371276,0.0029518683633896633,0.1161439478126389,0.12252054697245975,0.7935186020154436,0.004984667073083731,0.06316083781197375,0.06942243330380911,0.5732317765553793
10,2.0,0.0,200,3,0.12723323115155438,0.004227532223111805,0.12227064739486616,0.1326020158679093,0.7419707394912696,0.008641631331190119,0.06190483088406112,0.06611678883052041,0.5732317765553793
10,2.0,0.005,1,3,0.0008356713766647702,0.00013894388167968116,0.0006500806035721902,0.0009843698229797322,0.9985187628327964,0.0002483286359306805,0.00031613879714298,0.0006023175738298018,0.5716737111409506
10,2.0,0.005,10,3,0.015919822825707128,0.0016335408331257593,0.014401334844834501,0.018186823152290907,0.9719824847450012,0.0027424071297196444,0.03651855605364473,0.05243846964851369,0.5716737111409506
10,2.0,0.005,50,3,0.07994921458135693,0.0009356095511900421,0.07887722201713163,0.08115690410081926,0.862956079981188,0.002320297991532107,0.054962635761780405,0.06849041275540411,0.5716737111409506
10,2.0,0.005,100,3,0.14108411935133142,0.0026418368009585216,0.13784582198534703,0.14431696724775903,0.7508322505677433,0.004163229243698245,0.06999429623143695,0.08481990770122362,0.5716737111409506
10,2.0,0.005,200,3,0.16156181763709923,0.0210445788536074,0.14359080245691083,0.19109223721857535,0.6674957249673791,0.03964845976650032,0.052715263259193956,0.08876387015145737,0.5716737111409506
10,2.0,0.01,1,3,0.0005055432046008399,4.745562360183278e-05,0.00045273714157488234,0.0005678167546204167,0.9990972268158153,8.629412223061414e-05,0.0003689133343327302,0.0008122145762237511,0.5764420827229818
10,2.0,0.01,10,3,0.013754420820785866,0.0014496750322528793,0.012273328007659593,0.015722611152876823,0.9755994823132242,0.002501285669649085,0.04857196535587862,0.05982301978071438,0.5764420827229818
10,2.0,0.01,50,3,0.08465607551706891,0.0053031532687278496,0.07989529739511242,0.09205506952788667,0.8538129488459159,0.009287439052019637,0.0818474894613792,0.11247278650438597,0.5764420827229818
10,2.0,0.01,100,3,0.18018889546726238,0.02430273620325424,0.152515933645807,0.2116772847300253,0.6805859185483963,0.04367034192615166,0.0995368696244667,0.11783173795471398,0.5764420827229818
10,2.0,0.01,200,3,0.22403913440100745,0.04222430075567068,0.1706487783164577,0.2738954818725606,0.5281676091946488,0.09046708097353341,0.0686822146178142,0.08106989674728933,0.5764420827229818
10,2.0,0.02,1,3,0.0002977716401720932,1.2783207790177405e-05,0.00028392121779380265,0.0003147586579618192,0.9994622610847986,2.4165409796169644e-05,0.00038464855252725796,0.00041293927809003003,0.5896255970001221
10,2.0,0.02,10,3,0.013878886907855227,0.0008116605278664824,0.013206850417267118,0.015020798716365453,0.975095117365345,0.0013563010577340344,0.010363386370753059,0.01086119091056115,0.5896255970001221
10,2.0,0.02,50,3,0.0808608351992845,0.0070958074307065,0.07499815787348464,0.09084536360659572,0.8589190584509921,0.011755381396028724,0.04415862820468455,0.05592144782423161,0.5896255970001221
10,2.0,0.02,100,3,0.16547567592862988,0.005532869090592796,0.15810055777209636,0.17142701165076699,0.7038453855618845,0.01183684770310442,0.07887700180842196,0.08737316854792204,0.5896255970001221
10,2.0,0.02,200,3,0.22893890676465126,0.03844776981350429,0.19874557577724175,0.28319701475428394,0.5170534279335164,0.08235033360273526,0.04480984884050925,0.04732795438310196,0.5896255970001221
10,2.0,0.05,1,3,0.00028849880483962674,1.3173354610178345e-05,0.00027214280071842143,0.0003044012327312279,0.9995177498824391,2.1609385558893998e-05,0.002223264913634207,0.0033871265042211838,0.7720030943552653
10,2.0,0.05,10,3,0.018105640941698867,0.0026696949040452456,0.01568926992583775,0.021826150006878264,0.9699232494767499,0.0043916738301435195,0.016727052499038872,0.023298003888943576,0.7720030943552653
10,2.0,0.05,50,3,0.17178920900011235,0.045504731612929825,0.12494611347344267,0.2334248143843887,0.7215068183228965,0.07321201010195089,0.0506402174182797,0.059244861001613636,0.7720030943552653
10,2.0,0.05,100,3,0.30083702648928345,0.06709613658987665,0.2404045190807343,0.3944076119646991,0.49993564138560337,0.10901054968913013,0.07390964480652215,0.08957345920063575,0.7720030943552653
10,2.0,0.05,200,3,0.3538225686686365,0.08830787230613663,0.23076387474137422,0.43378663433212,0.31131062492749145,0.17008048012114843,0.05834350334676195,0.0689960502957839,0.7720030943552653
10,4.0,0.0,1,3,0.0016262675928084547,3.397280878169153e-05,0.0015790230145509775,0.0016574522872245935,0.9978452420474208,4.3379633601659914e-05,0.010234820361274691,0.010778424370362085,0.5928897062937418
10,4.0,0.0,10,3,0.05495886116622962,0.0018756291973456047,0.05244437663080088,0.05694754240591654,0.9276357539157395,0.002625862132861092,0.10929555629718772,0.11223467716722622,0.5928897062937418
10,4.0,0.0,50,3,0.16274800469360526,0.005904102796212851,0.15492115204129833,0.16917994802618921,0.7907827845216555,0.007752825311763845,0.14021749059962765,0.14091070248510149,0.5928897062937418
10,4.0,0.0,100,3,0.2301881801722954,0.006046600398938329,0.2233788819077182,0.23807246739651522,0.695219095351926,0.007991450017245086,0.13823818148036152,0.14075192790413754,0.5928897062937418
10,4.0,0.0,200,3,0.27110585647779634,0.006808104919088865,0.2646854492421462,0.28052969164893155,0.6017579645444467,0.011367339402995813,0.09556515232887079,0.11160908128829967,0.5928897062937418
10,4.0,0.005,1,3,0.0012095043842654894,0.00010003068829571731,0.001124561636653178,0.0013499438912702817,0.9983907528335592,0.00012816703021671343,0.011413893594259407,0.012541095146882996,0.6764446894327799
10,4.0,0.005,10,3,0.052979237993304305,0.005032045826703642,0.045980445722723265,0.05759438852272,0.9299263671695742,0.006611746189433453,0.11387083350455884,0.1283247926636578,0.6764446894327799
10,4.0,0.005,50,3,0.17030829645791595,0.008937758824575573,0.15789713108771278,0.17858692758058956,0.7801710014278228,0.0117052394042061,0.15485838269088664,0.17502955926860145,0.6764446894327799
10,4.0,0.005,100,3,0.2344306177714094,0.008660944766858877,0.22220265356296492,0.2411574741446471,0.689387875807609,0.011376673227542372,0.13151472653311821,0.17801103386073164,0.6764446894327799
10,4.0,0.005,200,3,0.2880964364752947,0.03449402095972705,0.24931040190880713,0.33311149241494825,0.5746246909889468,0.0497360100371389,0.09114331116162071,0.12806904385174925,0.6764446894327799
10,4.0,0.01,1,3,0.0011800518307878577,6.450399620828638e-05,0.0010965869795218559,0.0012536646930962883,0.9984243325836956,8.321647930628302e-05,0.010121492881837724,0.01074433526233244,0.6250927448272705
10,4.0,0.01,10,3,0.05550667305191202,0.001028684637422364,0.05461325380439874,0.05694768628173311,0.9263469781821011,0.0010835090493864056,0.1318567251960757,0.14080372289428175,0.6250927448272705
10,4.0,0.01,50,3,0.18096153303964144,0.010411106163411472,0.17272092914889076,0.1956485768175565,0.7656111723488823,0.01396451392820036,0.17585777994827287,0.2511783873093768,0.6250927448272705
10,4.0,0.01,100,3,0.28502279417891324,0.021138239363458076,0.2626380580248285,0.3133741376205944,0.6208328285628381,0.027942780432990314,0.14692101297728635,0.16158065286402773,0.6250927448272705
10,4.0,0.01,200,3,0.3635643571788497,0.010370500731771657,0.34956190850237145,0.37434308088022034,0.45731169612438016,0.013857997205235058,0.11280788957496,0.16053613801982988,0.6250927448272705
