n_clusters,omega,noise_level,seed,horizon,n_eval_starts,relative_association_error,association_r2,simplex_violation,train_closure_error_noisy_train,train_association_r2_noisy_train,fit_seconds
10,1.0,0.005,0,50,351,0.040454790551690184,0.8523689705120473,1.7985612998927536e-14,0.0010153575379129465,0.9963082692368009,0.5750439167022705
10,1.0,0.005,0,100,301,0.06675509704475976,0.751162429151156,0.005794541981071534,0.0010153575379129465,0.9963082692368009,0.5750439167022705
10,1.0,0.005,0,200,201,0.0817569384256716,0.6190016678120457,0.034255594052858884,0.0010153575379129465,0.9963082692368009,0.5750439167022705
10,1.0,0.005,1,1,400,0.000685782978555608,0.9972964704684335,1.1102230246251565e-15,0.00108317298648026,0.9958663760816268,0.5754971504211426
10,1.0,0.005,1,10,391,0.009549321698964898,0.9625425750553261,9.43689570931383e-15,0.00108317298648026,0.9958663760816268,0.5754971504211426
10,1.0,0.005,1,50,351,0.04218193409053881,0.8392650091890147,3.5638159090467525e-14,0.00108317298648026,0.9958663760816268,0.5754971504211426
10,1.0,0.005,1,100,301,0.06355248526067109,0.7511168774901119,3.197442310920451e-14,0.00108317298648026,0.9958663760816268,0.5754971504211426
10,1.0,0.005,1,200,201,0.080202603576211,0.6229106715154854,4.218847493575595e-14,0.00108317298648026,0.9958663760816268,0.5754971504211426
10,1.0,0.005,2,1,400,0.0004655196013446479,0.9981590709847511,6.661338147750939e-16,0.0006830288557860794,0.9974121492565874,0.5680928230285645
10,1.0,0.005,2,10,391,0.008197742609783742,0.9677503527081968,0.0035663272315095552,0.0006830288557860794,0.9974121492565874,0.5680928230285645
10,1.0,0.005,2,50,351,0.04054975982301476,0.8458814333608329,2.120525977034049e-14,0.0006830288557860794,0.9974121492565874,0.5680928230285645
10,1.0,0.005,2,100,301,0.06477773443590502,0.747574529399586,0.005370345804645249,0.0006830288557860794,0.9974121492565874,0.5680928230285645
10,1.0,0.005,2,200,201,0.08196365441364636,0.6204573444497359,2.930988785010413e-14,0.0006830288557860794,0.9974121492565874,0.5680928230285645
10,1.0,0.01,0,1,400,0.0003453256745682184,0.9986003004339454,8.881784197001252e-16,0.000597439008076131,0.9976946150429963,0.5960347652435303
10,1.0,0.01,0,10,391,0.006123152146114482,0.9753995092188963,0.0027074802367682374,0.000597439008076131,0.9976946150429963,0.5960347652435303
10,1.0,0.01,0,50,351,0.04064552593167206,0.8427049316298909,0.02981414615110401,0.000597439008076131,0.9976946150429963,0.5960347652435303
