n_clusters,omega,noise_level,weighted_long_horizon_score,E50,E100,E200
25,2.0,0.05,0.26379603814727876,0.14830931168874975,0.24020257396061911,0.33333613346987306
25,4.0,0.0,0.1597575109866845,0.09150367609227024,0.16237682334653605,0.19257477225396585
25,4.0,0.005,0.1737323760807438,0.09138983022817668,0.18165283160596654,0.21094342124441598
25,4.0,0.01,0.1860532139271181,0.09626438426650197,0.18440878125726673,0.23176984509235188
25,4.0,0.02,0.23671123525402782,0.12539422944279768,0.22447597953410922,0.2984873660196022
25,4.0,0.05,0.4438974337307833,0.3072656258513319,0.43267780851846355,0.5178231502766688
30,0.25,0.0,0.021176976732953837,0.018323056717145063,0.021823578272451946,0.022280635971109165
30,0.25,0.005,0.02121061490370987,0.015488069277448661,0.02217979817360002,0.0235872960818954
30,0.25,0.01,0.021595939731607797,0.014406670859996902,0.022556234351013817,0.024710426857710233
30,0.25,0.02,0.021014844681897144,0.013661790315847596,0.022312138971301864,0.024042724720219556
30,0.25,0.05,0.05270001017316693,0.02277396045949827,0.04280361372039029,0.07261123325638959
30,0.5,0.0,0.06852644271660516,0.06275765999454153,0.07432927510164387,0.06850941788511762
30,0.5,0.005,0.06423705358208959,0.04730839490208069,0.06564808493518437,0.07199586724554666
30,0.5,0.01,0.06135128028975905,0.041020162237851016,0.05905012762509529,0.07266741564804495
30,0.5,0.02,0.05889906724187109,0.03630717575731382,0.05393588489526033,0.07267660415745511
30,0.5,0.05,0.07372285687927017,0.047103557023336004,0.07448215012207648,0.08665286018583411
30,1.0,0.0,0.12058422323214614,0.10880343944322163,0.12120158719897674,0.1261659331431931
30,1.0,0.005,0.10340167960716588,0.08695187108433443,0.10760437605501379,0.10952523564465766
30,1.0,0.01,0.1076431427176781,0.07834773147215206,0.10233091856645118,0.12494696041605456
30,1.0,0.02,0.08805179767191557,0.07289587530846547,0.09175004589518483,0.09378063474200597
30,1.0,0.05,0.19762022746615274,0.09868627894665367,0.17017090315418482,0.2608118638818862
30,2.0,0.0,0.16432007292677617,0.10921347413081826,0.16457371383430439,0.191746551870991
30,2.0,0.005,0.16056250141953882,0.11547470557721651,0.18152226860913934,0.1726265157458997
30,2.0,0.01,0.15479745844425494,0.10978072762584125,0.17871484804426033,0.16534712905345908
30,2.0,0.02,0.16585597748470984,0.10692235254665743,0.16827167303252255,0.19411494217982972
30,2.0,0.05,0.36450021899312063,0.18194360621634936,0.33673698925361517,0.469660140251259
30,4.0,0.0,0.18266232537090582,0.10175398228857979,0.18257774174875435,0.22315878872314454
30,4.0,0.005,0.18850523879767395,0.09881848463494698,0.1907091263914558,0.23224667208214653
30,4.0,0.01,0.1982291111566519,0.10098095887275665,0.19660553093901498,0.247664977407418
30,4.0,0.02,0.3395168617469,0.15027390023376383,0.2973853850722189,0.45520408084080866
30,4.0,0.05,0.559601069451455,0.36881927702245887,0.5586281577549407,0.6554784215142102
40,0.25,0.0,0.023328627427512655,0.01812866738622925,0.02250210567650901,0.026341868323656183
40,0.25,0.005,0.021104193040802365,0.015526854086181896,0.02188345822825108,0.023503229924388244
40,0.25,0.01,0.021112922559992704,0.014405494342516931,0.022333858984183955,0.023856168456634966
40,0.25,0.02,0.021300686596137215,0.013835659000860825,0.02278706841326039,0.024290009485213822
40,0.25,0.05,0.06641098358897324,0.025130182962158264,0.049033671816121775,0.09574003978880646
40,0.5,0.0,0.07793667085255808,0.0696952117234974,0.0795029678507154,0.08127425191800976
40,0.5,0.005,0.07150256469993337,0.053205091661607466,0.07401865791434531,0.07939325461189035
40,0.5,0.01,0.06732480170382207,0.047583012514168015,0.0699617906470947,0.07587720182701278
40,0.5,0.02,0.06409663954119132,0.04208369730491955,0.06427368521277885,0.07501458782353344
40,0.5,0.05,0.10577845399082617,0.05747896864405586,0.0933090589384213,0.13616289419041375
40,1.0,0.0,0.17540104607688384,0.16431795503026136,0.17745224223879424,0.17991699351923987
40,1.0,0.005,0.13456335080420329,0.11213492573758697,0.13429397264162618,0.14591225241880001
