experiment,seed,n_steps,dt,mu,n_clusters,effective_regimes,omega,tau,beta,nlms_epochs,horizon,n_start_points,relative_association_error,association_r2,simplex_violation
09_vanderpol_kahkm_sensitivity,0,1600,0.02,1.0,10,10,16.0,1e-06,0.1,20,100,301,0.7006834833249654,0.17284645277612043,0.023860190585540897
09_vanderpol_kahkm_sensitivity,0,1600,0.02,1.0,10,10,16.0,1e-06,0.1,20,200,201,0.8446088649629071,-0.06131931696992021,0.010308820936852321
09_vanderpol_kahkm_sensitivity,1,1600,0.02,1.0,10,10,16.0,1e-06,0.1,20,1,400,0.008060722298754295,0.9904528727761279,0.018309092991119207
09_vanderpol_kahkm_sensitivity,1,1600,0.02,1.0,10,10,16.0,1e-06,0.1,20,2,399,0.029134288136656045,0.9655044584285751,0.03297218340529459
09_vanderpol_kahkm_sensitivity,1,1600,0.02,1.0,10,10,16.0,1e-06,0.1,20,5,396,0.12907868618893115,0.8473243756129055,0.0581642666121954
09_vanderpol_kahkm_sensitivity,1,1600,0.02,1.0,10,10,16.0,1e-06,0.1,20,10,391,0.29149780254751917,0.6559165696384694,0.07430844722191399
09_vanderpol_kahkm_sensitivity,1,1600,0.02,1.0,10,10,16.0,1e-06,0.1,20,20,381,0.42811250244946486,0.4976573512412612,0.08606434750128159
09_vanderpol_kahkm_sensitivity,1,1600,0.02,1.0,10,10,16.0,1e-06,0.1,20,50,351,0.5890093763900155,0.31806254126787814,0.03350837497483777
09_vanderpol_kahkm_sensitivity,1,1600,0.02,1.0,10,10,16.0,1e-06,0.1,20,100,301,0.7053952858224337,0.16757424535645116,0.022453246213939713
09_vanderpol_kahkm_sensitivity,1,1600,0.02,1.0,10,10,16.0,1e-06,0.1,20,200,201,0.8485890923322529,-0.06965967592592026,0.010402156991964902
09_vanderpol_kahkm_sensitivity,2,1600,0.02,1.0,10,10,16.0,1e-06,0.1,20,1,400,0.00781631881345554,0.9907750870294108,0.01858381833115943
09_vanderpol_kahkm_sensitivity,2,1600,0.02,1.0,10,10,16.0,1e-06,0.1,20,2,399,0.028250800937585113,0.9666697404539967,0.033524183426637516
09_vanderpol_kahkm_sensitivity,2,1600,0.02,1.0,10,10,16.0,1e-06,0.1,20,5,396,0.12547681992952356,0.8521360071569568,0.05954910953735367
09_vanderpol_kahkm_sensitivity,2,1600,0.02,1.0,10,10,16.0,1e-06,0.1,20,10,391,0.2826100332888558,0.6678073837003572,0.07713933821520913
09_vanderpol_kahkm_sensitivity,2,1600,0.02,1.0,10,10,16.0,1e-06,0.1,20,20,381,0.40321243390764316,0.5288611845536817,0.0893710482267836
09_vanderpol_kahkm_sensitivity,2,1600,0.02,1.0,10,10,16.0,1e-06,0.1,20,50,351,0.5460451094966552,0.3688874315792452,0.037494352935555676
09_vanderpol_kahkm_sensitivity,2,1600,0.02,1.0,10,10,16.0,1e-06,0.1,20,100,301,0.663308952372317,0.21769529027437828,0.023888052296177346
09_vanderpol_kahkm_sensitivity,2,1600,0.02,1.0,10,10,16.0,1e-06,0.1,20,200,201,0.8055616952907508,-0.007086692323613253,0.0037789913846618833
09_vanderpol_kahkm_sensitivity,0,1600,0.02,1.0,15,15,4.0,1e-06,0.1,20,1,400,0.0014470293350556064,0.998176928445678,0.01976274196240334
09_vanderpol_kahkm_sensitivity,0,1600,0.02,1.0,15,15,4.0,1e-06,0.1,20,2,399,0.00396811915461196,0.9950032452652192,0.03969722667663528
09_vanderpol_kahkm_sensitivity,0,1600,0.02,1.0,15,15,4.0,1e-06,0.1,20,5,396,0.01279026338753653,0.983918503221591,0.0826658578446582
09_vanderpol_kahkm_sensitivity,0,1600,0.02,1.0,15,15,4.0,1e-06,0.1,20,10,391,0.023718284830889995,0.9702516581326261,0.10920645598422196
09_vanderpol_kahkm_sensitivity,0,1600,0.02,1.0,15,15,4.0,1e-06,0.1,20,20,381,0.036527742578888155,0.9544030862247364,0.10636486723512269
09_vanderpol_kahkm_sensitivity,0,1600,0.02,1.0,15,15,4.0,1e-06,0.1,20,50,351,0.09464517470905891,0.8831384415851369,0.13648007483731128
09_vanderpol_kahkm_sensitivity,0,1600,0.02,1.0,15,15,4.0,1e-06,0.1,20,100,301,0.19627291595055638,0.7506353873656644,0.1745343335410453
09_vanderpol_kahkm_sensitivity,0,1600,0.02,1.0,15,15,4.0,1e-06,0.1,20,200,201,0.23095706224803475,0.684885735407512,0.10560062402876282
09_vanderpol_kahkm_sensitivity,1,1600,0.02,1.0,15,15,4.0,1e-06,0.1,20,1,400,0.0010162159777226476,0.9986960478502824,0.020310183499277962
09_vanderpol_kahkm_sensitivity,1,1600,0.02,1.0,15,15,4.0,1e-06,0.1,20,2,399,0.0026986141860277997,0.9965396118344342,0.04058230735963259
09_vanderpol_kahkm_sensitivity,1,1600,0.02,1.0,15,15,4.0,1e-06,0.1,20,5,396,0.008545359564622108,0.9890644929070187,0.08424021172610016
09_vanderpol_kahkm_sensitivity,1,1600,0.02,1.0,15,15,4.0,1e-06,0.1,20,10,391,0.016934046544949448,0.9784019830852855,0.10377901866323186
09_vanderpol_kahkm_sensitivity,1,1600,0.02,1.0,15,15,4.0,1e-06,0.1,20,20,381,0.02896246920756957,0.9633031541265777,0.08448097616201558
09_vanderpol_kahkm_sensitivity,1,1600,0.02,1.0,15,15,4.0,1e-06,0.1,20,50,351,0.09078424703735997,0.8869021693905592,0.15252532594606563
09_vanderpol_kahkm_sensitivity,1,1600,0.02,1.0,15,15,4.0,1e-06,0.1,20,100,301,0.17208340940545788,0.780747149834711,0.1568556322800794
09_vanderpol_kahkm_sensitivity,1,1600,0.02,1.0,15,15,4.0,1e-06,0.1,20,200,201,0.14482375277599216,0.7966352205881947,0.06395956528529981
09_vanderpol_kahkm_sensitivity,2,1600,0.02,1.0,15,15,4.0,1e-06,0.1,20,1,400,0.0014714810814083097,0.9981181964611551,0.0196536102946047
09_vanderpol_kahkm_sensitivity,2,1600,0.02,1.0,15,15,4.0,1e-06,0.1,20,2,399,0.0037449663729807203,0.9952140348149324,0.039263702816670056
09_vanderpol_kahkm_sensitivity,2,1600,0.02,1.0,15,15,4.0,1e-06,0.1,20,5,396,0.01114923574924104,0.9857809643182641,0.0804810611199135
09_vanderpol_kahkm_sensitivity,2,1600,0.02,1.0,15,15,4.0,1e-06,0.1,20,10,391,0.020985294467022117,0.9733292549938638,0.09280440709074285
09_vanderpol_kahkm_sensitivity,2,1600,0.02,1.0,15,15,4.0,1e-06,0.1,20,20,381,0.035099354165107274,0.9556960857944347,0.08234912044146209
09_vanderpol_kahkm_sensitivity,2,1600,0.02,1.0,15,15,4.0,1e-06,0.1,20,50,351,0.10202605531655082,0.8734452253792389,0.1394387097952913
09_vanderpol_kahkm_sensitivity,2,1600,0.02,1.0,15,15,4.0,1e-06,0.1,20,100,301,0.20324705761882828,0.7424005406061849,0.13016826313362823
09_vanderpol_kahkm_sensitivity,2,1600,0.02,1.0,15,15,4.0,1e-06,0.1,20,200,201,0.20905533361726034,0.705652390130042,0.06207861729304581
09_vanderpol_kahkm_sensitivity,0,1600,0.02,1.0,15,15,8.0,1e-06,0.1,20,1,400,0.003517703574846184,0.9959031580712607,0.02449246638751931
09_vanderpol_kahkm_sensitivity,0,1600,0.02,1.0,15,15,8.0,1e-06,0.1,20,2,399,0.012634989603310295,0.9852912800709496,0.04397198243914343
09_vanderpol_kahkm_sensitivity,0,1600,0.02,1.0,15,15,8.0,1e-06,0.1,20,5,396,0.05392775911779166,0.9373031407044669,0.12517943598300355
09_vanderpol_kahkm_sensitivity,0,1600,0.02,1.0,15,15,8.0,1e-06,0.1,20,10,391,0.10393084631468819,0.8794190842796823,0.20237798734543336
09_vanderpol_kahkm_sensitivity,0,1600,0.02,1.0,15,15,8.0,1e-06,0.1,20,20,381,0.13461932005785016,0.8443756878547423,0.14917035527245823
09_vanderpol_kahkm_sensitivity,0,1600,0.02,1.0,15,15,8.0,1e-06,0.1,20,50,351,0.21894391182366052,0.7489734948717633,0.16846237229988964
09_vanderpol_kahkm_sensitivity,0,1600,0.02,1.0,15,15,8.0,1e-06,0.1,20,100,301,0.30870500909485843,0.638216687303718,0.1172474684163235
09_vanderpol_kahkm_sensitivity,0,1600,0.02,1.0,15,15,8.0,1e-06,0.1,20,200,201,0.4220264413967183,0.48039503038409115,0.07084462479603304
09_vanderpol_kahkm_sensitivity,1,1600,0.02,1.0,15,15,8.0,1e-06,0.1,20,1,400,0.0028740276821102436,0.9966017916817531,0.022308655347809143
09_vanderpol_kahkm_sensitivity,1,1600,0.02,1.0,15,15,8.0,1e-06,0.1,20,2,399,0.010378726193569185,0.9877350603179659,0.04358920751719933
09_vanderpol_kahkm_sensitivity,1,1600,0.02,1.0,15,15,8.0,1e-06,0.1,20,5,396,0.04504503413593606,0.9468575162454377,0.14086742613519443
09_vanderpol_kahkm_sensitivity,1,1600,0.02,1.0,15,15,8.0,1e-06,0.1,20,10,391,0.09078461834190239,0.8932065695503442,0.22573338998145412
09_vanderpol_kahkm_sensitivity,1,1600,0.02,1.0,15,15,8.0,1e-06,0.1,20,20,381,0.12119423232714563,0.8582656366046711,0.16738684317741126
09_vanderpol_kahkm_sensitivity,1,1600,0.02,1.0,15,15,8.0,1e-06,0.1,20,50,351,0.21026036831096237,0.757417233217063,0.1462506820412889
09_vanderpol_kahkm_sensitivity,1,1600,0.02,1.0,15,15,8.0,1e-06,0.1,20,100,301,0.26651542308865706,0.6868961991718823,0.12840813180306399
09_vanderpol_kahkm_sensitivity,1,1600,0.02,1.0,15,15,8.0,1e-06,0.1,20,200,201,0.29824451897294013,0.6234962348931361,0.06465153962257877
09_vanderpol_kahkm_sensitivity,2,1600,0.02,1.0,15,15,8.0,1e-06,0.1,20,1,400,0.003227882334786719,0.9961904132276962,0.022497208329632472
09_vanderpol_kahkm_sensitivity,2,1600,0.02,1.0,15,15,8.0,1e-06,0.1,20,2,399,0.011345775569722896,0.9866168631328036,0.04384985601147729
09_vanderpol_kahkm_sensitivity,2,1600,0.02,1.0,15,15,8.0,1e-06,0.1,20,5,396,0.04892149508258051,0.9423895515057374,0.12818186800885695
09_vanderpol_kahkm_sensitivity,2,1600,0.02,1.0,15,15,8.0,1e-06,0.1,20,10,391,0.09811832191548142,0.8847902078065133,0.2077526098412742
09_vanderpol_kahkm_sensitivity,2,1600,0.02,1.0,15,15,8.0,1e-06,0.1,20,20,381,0.1311615018280947,0.8469322677517639,0.17968365788235421
09_vanderpol_kahkm_sensitivity,2,1600,0.02,1.0,15,15,8.0,1e-06,0.1,20,50,351,0.22599131595375765,0.7399377927339235,0.13919052265083698
09_vanderpol_kahkm_sensitivity,2,1600,0.02,1.0,15,15,8.0,1e-06,0.1,20,100,301,0.29033422235000916,0.659860744195838,0.09755248325507093
09_vanderpol_kahkm_sensitivity,2,1600,0.02,1.0,15,15,8.0,1e-06,0.1,20,200,201,0.34384005362038816,0.5658624262457559,0.05526373032253052
09_vanderpol_kahkm_sensitivity,0,1600,0.02,1.0,15,15,12.0,1e-06,0.1,20,1,400,0.006274914189342584,0.9928600510142612,0.026493707346014337
09_vanderpol_kahkm_sensitivity,0,1600,0.02,1.0,15,15,12.0,1e-06,0.1,20,2,399,0.0226431879972825,0.9742458460102156,0.055700890400826264
09_vanderpol_kahkm_sensitivity,0,1600,0.02,1.0,15,15,12.0,1e-06,0.1,20,5,396,0.09765052211926493,0.8890697786190896,0.12840381134009043
09_vanderpol_kahkm_sensitivity,0,1600,0.02,1.0,15,15,12.0,1e-06,0.1,20,10,391,0.18943467874459785,0.7852171193143871,0.1910821100170956
09_vanderpol_kahkm_sensitivity,0,1600,0.02,1.0,15,15,12.0,1e-06,0.1,20,20,381,0.23688462540463043,0.7322168720764451,0.15473435689873552
09_vanderpol_kahkm_sensitivity,0,1600,0.02,1.0,15,15,12.0,1e-06,0.1,20,50,351,0.3414447408805928,0.6166635728938812,0.11630214568257398
