system,seed,noise_level,horizon,n_eval_starts,relative_association_error,association_r2,simplex_violation
duffing,2,0.05,200,201,0.034125603732969356,-615.4921275588166,3.441691376337985e-14
vanderpol,0,0.0,1,400,0.0017910268988048164,0.9977712695316271,0.020826889026260963
vanderpol,0,0.0,10,391,0.01650302990551777,0.9795809034292529,0.08137523684723166
vanderpol,0,0.0,50,351,0.07998471132764529,0.9031899883960598,0.09674787530650235
vanderpol,0,0.0,100,301,0.15133189616600085,0.8126918541734324,0.07687495157866586
vanderpol,0,0.0,200,201,0.15999754440054118,0.7842431563648526,0.04930492535718282
vanderpol,0,0.005,1,400,0.0009776587409613545,0.9987767875226056,0.014864844376408797
vanderpol,0,0.005,10,391,0.020016481822577183,0.9750883278643359,0.08601661456698911
vanderpol,0,0.005,50,351,0.09472737214704093,0.8845699730270374,0.1252743832660637
vanderpol,0,0.005,100,301,0.1836756792535544,0.7714675448611429,0.09233321553571103
vanderpol,0,0.005,200,201,0.18384024907666136,0.7508694142358945,0.04605290964474142
vanderpol,0,0.01,1,400,0.0008093408100587705,0.9989751301375787,0.005491677268743261
vanderpol,0,0.01,10,391,0.02060342040229838,0.9740592797911759,0.09878941013394094
vanderpol,0,0.01,50,351,0.0999788465631767,0.8770615153006031,0.06306043071549713
vanderpol,0,0.01,100,301,0.18265332478106822,0.7705612227082423,0.05864618313457922
vanderpol,0,0.01,200,201,0.2060630463554244,0.7163903733239836,0.02236240598598842
vanderpol,0,0.02,1,400,0.0006098233352673897,0.9992269867907437,0.0004650399123746864
vanderpol,0,0.02,10,391,0.018635876096677332,0.9764972925187391,0.04574723383752421
vanderpol,0,0.02,50,351,0.12102572732331808,0.8505903786441671,0.04736743554764935
vanderpol,0,0.02,100,301,0.2073412946750337,0.7383764164957372,0.03750555134178206
vanderpol,0,0.02,200,201,0.2553773921810738,0.6507498274429688,0.01736309996590433
vanderpol,0,0.05,1,400,0.0013966600168189385,0.9982179929549782,0.000219226041874202
vanderpol,0,0.05,10,391,0.0584827368210019,0.9258341077581099,0.058786997296032886
vanderpol,0,0.05,50,351,0.3976090443658892,0.508279327055293,0.05119652068889497
vanderpol,0,0.05,100,301,0.5567295854134411,0.29552515406905566,0.04345261248566218
vanderpol,0,0.05,200,201,0.7111897043847608,0.007887261614680008,0.01963271926164982
vanderpol,1,0.0,1,400,0.0014896559613020658,0.9981221637968385,0.019124350830139736
vanderpol,1,0.0,10,391,0.01255280967105293,0.9842705617162393,0.06873356002380918
vanderpol,1,0.0,50,351,0.08415232770346553,0.8973259662626283,0.09609083195349803
vanderpol,1,0.0,100,301,0.17112533294933688,0.7879281598416767,0.10270194081867523
vanderpol,1,0.0,200,201,0.16203895573635088,0.7795153796741949,0.07265307509337388
vanderpol,1,0.005,1,400,0.0008528885504657172,0.9989151984422568,0.014394151462423092
vanderpol,1,0.005,10,391,0.015371399465803699,0.980572277273547,0.07376262119867406
