n_clusters,omega,n_runs,train_closure_error_mean,train_closure_error_std,test_closure_error_mean,test_closure_error_std,test_closure_error_min,test_closure_error_max,test_association_r2_mean,test_association_r2_std,test_association_r2_min,raw_predicted_simplex_violation_mean,raw_predicted_simplex_violation_max,target_association_variation_mean,target_association_variation_std,target_normalized_association_variation_mean,target_normalized_association_variation_std,target_association_effective_rank_mean,target_association_effective_rank_std,target_normalized_association_effective_rank_mean,target_normalized_association_effective_rank_std
15,8.0,3,0.0034147014061068157,0.00029041257799781577,0.003206537863914382,0.00032236835072625773,0.0028740276821102436,0.003517703574846184,0.9962317876602368,0.0003511497019483871,0.9959031580712607,0.02309944335498697,0.02449246638751931,nan,nan,nan,nan,nan,nan,nan,nan
25,4.0,3,0.003384031343524184,0.0002654892713151263,0.0033044611700821526,0.00024067214342497675,0.0030278513832555053,0.0034659684339467933,0.9959922841704651,0.0002850157495219274,0.9957993525495716,0.021453116022012792,0.022440201418065474,nan,nan,nan,nan,nan,nan,nan,nan
40,8.0,3,0.0037030122023122124,0.00010008740755623849,0.003357105222591254,4.7357309567885026e-05,0.003328708351895456,0.0034117749819911666,0.9962795167547752,4.851901667835907e-05,0.9962251318528218,0.03368575255904734,0.035378700305108146,nan,nan,nan,nan,nan,nan,nan,nan
30,1.0,3,0.0037433475340522496,7.781507472031103e-05,0.003390397075454348,0.0001410125011441124,0.0032293677994119038,0.003491809193511522,0.982815508770409,0.0008829313130910548,0.9821860270415296,1.2582527612418441e-15,1.3322676295501878e-15,nan,nan,nan,nan,nan,nan,nan,nan
10,8.0,3,0.003702541430294777,4.487112794902104e-05,0.003738386668143922,8.057213262661387e-05,0.0036486317366088614,0.0038044751629966495,0.9954246796266991,0.00011058586388866155,0.9953321125910608,0.02277680044006716,0.023578838146881786,nan,nan,nan,nan,nan,nan,nan,nan
40,6.0,3,0.004592791936047165,0.00021577272172974523,0.004138067171926497,8.024738554021677e-05,0.004061599563912399,0.004221623945601165,0.9953362047832558,8.561101998692199e-05,0.9952583089126179,0.030652453392177936,0.03187084850302258,nan,nan,nan,nan,nan,nan,nan,nan
30,4.0,3,0.004595760376067422,0.00014661006198371553,0.004253404451593738,0.00023050645984317719,0.00399503667150527,0.004437976026989069,0.994904507231671,0.0002561259057769137,0.9946964824333023,0.022658036580407128,0.02367043600687764,nan,nan,nan,nan,nan,nan,nan,nan
50,8.0,3,0.004678119836058203,0.00013308236432294044,0.004325193026455932,0.0002812381750673395,0.004008505552056388,0.004545799864960059,0.9952435676275543,0.00031265967368823114,0.9950007047359359,0.03352616200335568,0.034473008350218694,nan,nan,nan,nan,nan,nan,nan,nan
40,1.0,3,0.005589753025312727,0.00033751634518728235,0.005007914139592252,0.0003070672953270239,0.004700269870686481,0.0053144011905011754,0.9745408454372736,0.002722100252929728,0.9718363627306645,1.4802973661668755e-15,1.7763568394002505e-15,nan,nan,nan,nan,nan,nan,nan,nan
25,2.0,3,0.005278638397217299,0.00023840703524385874,0.005051310581144522,7.341711953477069e-05,0.005003388223817146,0.005135832961843204,0.9914558585863343,0.00013149536311750866,0.9913101878355329,1.1842378929335002e-15,1.2212453270876722e-15,nan,nan,nan,nan,nan,nan,nan,nan
50,12.0,3,0.005870636697245027,0.00017300868354758252,0.005591500638508654,0.00013639795932242672,0.005498655720486171,0.005748101449319925,0.9939628793590293,0.0001461598471635456,0.9937964209145578,0.0344051728979835,0.04145947708619985,nan,nan,nan,nan,nan,nan,nan,nan
