experiment,seed,n_steps,dt,mu,n_clusters,effective_regimes,omega,tau,beta,nlms_epochs,horizon,n_start_points,relative_association_error,association_r2,simplex_violation
09_vanderpol_kahkm_sensitivity,2,1600,0.02,1.0,15,15,0.5,1e-06,0.1,20,10,391,0.0051593807810804285,0.9005328631914292,5.551115123125783e-15
09_vanderpol_kahkm_sensitivity,2,1600,0.02,1.0,15,15,0.5,1e-06,0.1,20,50,351,0.02654583074983223,0.5087313489827714,2.7755575615628914e-14
09_vanderpol_kahkm_sensitivity,2,1600,0.02,1.0,15,15,0.5,1e-06,0.1,20,100,301,0.030758507993427338,0.4111486144549711,3.774758283725532e-14
09_vanderpol_kahkm_sensitivity,2,1600,0.02,1.0,15,15,0.5,1e-06,0.1,20,200,201,0.031123854877084495,0.2995536584789018,3.985700658404312e-14
09_vanderpol_kahkm_sensitivity,0,1600,0.02,1.0,15,15,1.0,1e-06,0.1,20,1,400,0.001352557968109839,0.9937373589333873,8.881784197001252e-16
09_vanderpol_kahkm_sensitivity,0,1600,0.02,1.0,15,15,1.0,1e-06,0.1,20,10,391,0.01359190613280016,0.937344623514152,5.551115123125783e-15
09_vanderpol_kahkm_sensitivity,0,1600,0.02,1.0,15,15,1.0,1e-06,0.1,20,50,351,0.04934207785665391,0.7783587537557284,0.0032417075783996107
09_vanderpol_kahkm_sensitivity,0,1600,0.02,1.0,15,15,1.0,1e-06,0.1,20,100,301,0.06707623506591842,0.6854781775457144,3.530509218307998e-14
09_vanderpol_kahkm_sensitivity,0,1600,0.02,1.0,15,15,1.0,1e-06,0.1,20,200,201,0.07304093318315259,0.6197315683247138,4.04121180963557e-14
09_vanderpol_kahkm_sensitivity,1,1600,0.02,1.0,15,15,1.0,1e-06,0.1,20,1,400,0.00117137793148736,0.9945423674036787,9.992007221626409e-16
09_vanderpol_kahkm_sensitivity,1,1600,0.02,1.0,15,15,1.0,1e-06,0.1,20,10,391,0.01065442164741094,0.9506680692745655,4.440892098500626e-15
09_vanderpol_kahkm_sensitivity,1,1600,0.02,1.0,15,15,1.0,1e-06,0.1,20,50,351,0.044230447740948475,0.8023716766016279,0.0025787405313669543
09_vanderpol_kahkm_sensitivity,1,1600,0.02,1.0,15,15,1.0,1e-06,0.1,20,100,301,0.05966117891284832,0.722742797621458,3.008704396734174e-14
09_vanderpol_kahkm_sensitivity,1,1600,0.02,1.0,15,15,1.0,1e-06,0.1,20,200,201,0.061969616455608535,0.6648799065819166,4.8960835385969403e-14
09_vanderpol_kahkm_sensitivity,2,1600,0.02,1.0,15,15,1.0,1e-06,0.1,20,1,400,0.0012363486567858245,0.9941547866449607,6.661338147750939e-16
09_vanderpol_kahkm_sensitivity,2,1600,0.02,1.0,15,15,1.0,1e-06,0.1,20,10,391,0.01173913905663576,0.9449016106439866,4.551914400963142e-15
09_vanderpol_kahkm_sensitivity,2,1600,0.02,1.0,15,15,1.0,1e-06,0.1,20,50,351,0.046985738636385395,0.7875740918878078,0.004022722106162095
09_vanderpol_kahkm_sensitivity,2,1600,0.02,1.0,15,15,1.0,1e-06,0.1,20,100,301,0.06482522540685068,0.6973501231532794,3.530509218307998e-14
09_vanderpol_kahkm_sensitivity,2,1600,0.02,1.0,15,15,1.0,1e-06,0.1,20,200,201,0.0712293912385126,0.6104364574433909,4.9182879990894435e-14
09_vanderpol_kahkm_sensitivity,0,1600,0.02,1.0,15,15,2.0,1e-06,0.1,20,1,400,0.002077975287785091,0.9963750633429249,1.1102230246251565e-15
09_vanderpol_kahkm_sensitivity,0,1600,0.02,1.0,15,15,2.0,1e-06,0.1,20,10,391,0.01882503131532805,0.9673158628498003,0.058657772233395154
