n_clusters,omega,noise_level,seed,horizon,n_eval_starts,relative_association_error,association_r2,simplex_violation,target_association_variation,target_max_variation_given_mean,target_normalized_association_variation,target_association_effective_rank,target_normalized_association_effective_rank,train_closure_error_noisy_train,train_association_r2_noisy_train,fit_seconds
25,4.0,0.05,0,50,351,0.2822280699188547,0.6526397843221896,0.012334205601958382,0.2025290433969162,0.9438174401457553,0.21458497669383952,9.957916463400867,0.4149131859750361,0.019646215492796784,0.9758755416212562,0.26494598388671875
25,4.0,0.05,0,100,301,0.40390627586526373,0.4937981150395273,0.012510874097038006,0.2025290433969162,0.9438174401457553,0.21458497669383952,9.957916463400867,0.4149131859750361,0.019646215492796784,0.9758755416212562,0.26494598388671875
25,4.0,0.05,0,200,201,0.46783854083323007,0.3510383210665574,0.0018268618570366412,0.2025290433969162,0.9438174401457553,0.21458497669383952,9.957916463400867,0.4149131859750361,0.019646215492796784,0.9758755416212562,0.26494598388671875
25,4.0,0.05,1,1,400,0.0013693449006770065,0.9982821385184357,0.00034093837164235827,0.19555825124706655,0.9502278110830704,0.20580143936659684,10.644540989447076,0.4435225412269615,0.021536760026629655,0.9736896167444159,0.17168116569519043
25,4.0,0.05,1,10,391,0.05345228793105458,0.9332688184276319,0.020430672234189266,0.19555825124706655,0.9502278110830704,0.20580143936659684,10.644540989447076,0.4435225412269615,0.021536760026629655,0.9736896167444159,0.17168116569519043
25,4.0,0.05,1,50,351,0.2754819369414297,0.663845126010835,0.013842834696357527,0.19555825124706655,0.9502278110830704,0.20580143936659684,10.644540989447076,0.4435225412269615,0.021536760026629655,0.9736896167444159,0.17168116569519043
25,4.0,0.05,1,100,301,0.4088134454555803,0.4919546434882277,0.013239476427674033,0.19555825124706655,0.9502278110830704,0.20580143936659684,10.644540989447076,0.4435225412269615,0.021536760026629655,0.9736896167444159,0.17168116569519043
25,4.0,0.05,1,200,201,0.5469354316039308,0.25960152090013455,0.002277334669303352,0.19555825124706655,0.9502278110830704,0.20580143936659684,10.644540989447076,0.4435225412269615,0.021536760026629655,0.9736896167444159,0.17168116569519043
25,4.0,0.05,2,1,400,0.0013256287138809335,0.9983587200589724,0.0001837143710936452,0.19174013891105657,0.9543439203550772,0.2009130406989096,10.839144066438479,0.45163100276826995,0.01929383327499735,0.9764046983478579,0.1913893222808838
25,4.0,0.05,2,10,391,0.056369863669657565,0.9304359769685571,0.015208966640736284,0.19174013891105657,0.9543439203550772,0.2009130406989096,10.839144066438479,0.45163100276826995,0.01929383327499735,0.9764046983478579,0.1913893222808838
25,4.0,0.05,2,50,351,0.36408687069371176,0.557344702038121,0.018951242744589723,0.19174013891105657,0.9543439203550772,0.2009130406989096,10.839144066438479,0.45163100276826995,0.01929383327499735,0.9764046983478579,0.1913893222808838
25,4.0,0.05,2,100,301,0.48531370423454323,0.3966026167021275,0.012133038217399859,0.19174013891105657,0.9543439203550772,0.2009130406989096,10.839144066438479,0.45163100276826995,0.01929383327499735,0.9764046983478579,0.1913893222808838
25,4.0,0.05,2,200,201,0.5386954783928312,0.28219653981713255,0.00569798168029861,0.19174013891105657,0.9543439203550772,0.2009130406989096,10.839144066438479,0.45163100276826995,0.01929383327499735,0.9764046983478579,0.1913893222808838
