path	supporting_result_ids	suffix	bytes	sha256	row_count	columns	run_key_values_json
kahkm_experiment_16a_sensitivity_outputs/runs/CartPole-v1_C100_omega12p0/experiment_16_one_step_results.csv	R15	.csv	1058	66c3d9fefb2abb27ec1e2fe5dd7eb63cdde2e182005723a2c660bc04f7d2d11b	7	task,method,metric_space,train_error,train_r2,test_error,test_r2,simplex_violation	"{""method"":[""kahkm_nlms"",""kmeans_distance_nlms"",""kmeans_hard_nlms"",""kmeans_rbf_nlms"",""state_dmd"",""state_edmd_poly2"",""state_edmd_poly3""],""task"":[""CartPole-v1""]}"
kahkm_experiment_16a_sensitivity_outputs/runs/CartPole-v1_C100_omega2p0/experiment_16_fit_summary.csv	R15	.csv	211	b203997e6dedb3e010aeff7e7664bb2f83b2d9d5894ab37224ad82968bc7e601	1	task,method,n_clusters,omega,tau,train_transitions,test_transitions,fit_seconds,train_error,test_error	"{""method"":[""kahkm_nlms""],""n_clusters"":[""100""],""omega"":[""2.0""],""task"":[""CartPole-v1""]}"
kahkm_experiment_16a_sensitivity_outputs/runs/CartPole-v1_C100_omega2p0/experiment_16_metadata.json	R15	.json	827	01f6dd197940e7c14ce8646ebfd5d6bf3ea3c575f2da9182b296ba4e018b1444			{}
kahkm_experiment_16a_sensitivity_outputs/runs/CartPole-v1_C100_omega2p0/experiment_16_multistep_results.csv	R15	.csv	4893	415364c2a83eceea2c96b2fda100911462a3334ae4cb67a90ccf5eacad83ff04	40	method,horizon,metric_space,relative_error,association_r2,simplex_violation,task	"{""horizon"":[""1"",""10"",""20"",""5"",""50""],""method"":[""kahkm_nlms"",""kahkm_nlms_simplex_project_each_step"",""kmeans_distance_nlms"",""kmeans_hard_nlms"",""kmeans_rbf_nlms"",""state_dmd"",""state_edmd_poly2"",""state_edmd_poly3""],""task"":[""CartPole-v1""]}"
kahkm_experiment_16a_sensitivity_outputs/runs/CartPole-v1_C100_omega2p0/experiment_16_multistep_summary.csv	R15	.csv	5530	b8e380498e742af7fff9f3e44a5229c7377dd52a5f580da6c05c6e5b46f53efc	40	task,method,metric_space,horizon,relative_error_mean,relative_error_std,association_r2_mean,association_r2_std,simplex_violation_mean,simplex_violation_std,n	"{""horizon"":[""1"",""10"",""20"",""5"",""50""],""method"":[""kahkm_nlms"",""kahkm_nlms_simplex_project_each_step"",""kmeans_distance_nlms"",""kmeans_hard_nlms"",""kmeans_rbf_nlms"",""state_dmd"",""state_edmd_poly2"",""state_edmd_poly3""],""task"":[""CartPole-v1""]}"
kahkm_experiment_16a_sensitivity_outputs/runs/CartPole-v1_C100_omega2p0/experiment_16_one_step_results.csv	R15	.csv	1069	0674eb6ed56922aba799e767c85aef489c00226e614d53c5c24656754c2102c0	7	task,method,metric_space,train_error,train_r2,test_error,test_r2,simplex_violation	"{""method"":[""kahkm_nlms"",""kmeans_distance_nlms"",""kmeans_hard_nlms"",""kmeans_rbf_nlms"",""state_dmd"",""state_edmd_poly2"",""state_edmd_poly3""],""task"":[""CartPole-v1""]}"
kahkm_experiment_16a_sensitivity_outputs/runs/CartPole-v1_C100_omega4p0/experiment_16_fit_summary.csv	R15	.csv	208	3b93a994433ac8a5776cb79d450f210c186a42602d1f2084e92d503efc642240	1	task,method,n_clusters,omega,tau,train_transitions,test_transitions,fit_seconds,train_error,test_error	"{""method"":[""kahkm_nlms""],""n_clusters"":[""100""],""omega"":[""4.0""],""task"":[""CartPole-v1""]}"
kahkm_experiment_16a_sensitivity_outputs/runs/CartPole-v1_C100_omega4p0/experiment_16_metadata.json	R15	.json	827	fdafdfb97638219d3721dd0a9aa0e9e1432ab5b923944226880c9c2095f24e2b			{}
kahkm_experiment_16a_sensitivity_outputs/runs/CartPole-v1_C100_omega4p0/experiment_16_multistep_results.csv	R15	.csv	4877	446376e9e1edcda69e8ba9058d30baaccca068db50ffe66c83f158c2d0c30cf6	40	method,horizon,metric_space,relative_error,association_r2,simplex_violation,task	"{""horizon"":[""1"",""10"",""20"",""5"",""50""],""method"":[""kahkm_nlms"",""kahkm_nlms_simplex_project_each_step"",""kmeans_distance_nlms"",""kmeans_hard_nlms"",""kmeans_rbf_nlms"",""state_dmd"",""state_edmd_poly2"",""state_edmd_poly3""],""task"":[""CartPole-v1""]}"
kahkm_experiment_16a_sensitivity_outputs/runs/CartPole-v1_C100_omega4p0/experiment_16_multistep_summary.csv	R15	.csv	5514	e9545298f8d07166d91baf76dd6ff6e21059dc6293515c4b85b0711d280cf292	40	task,method,metric_space,horizon,relative_error_mean,relative_error_std,association_r2_mean,association_r2_std,simplex_violation_mean,simplex_violation_std,n	"{""horizon"":[""1"",""10"",""20"",""5"",""50""],""method"":[""kahkm_nlms"",""kahkm_nlms_simplex_project_each_step"",""kmeans_distance_nlms"",""kmeans_hard_nlms"",""kmeans_rbf_nlms"",""state_dmd"",""state_edmd_poly2"",""state_edmd_poly3""],""task"":[""CartPole-v1""]}"
