task,n_clusters,omega,method,metric_space,horizon,relative_error,association_r2,simplex_violation
CartPole-v1,20,8.0,kahkm_nlms,kahkm_association,1,0.3986724112451242,0.36745684033549686,0.38254534656320527
CartPole-v1,20,8.0,kahkm_nlms,kahkm_association,10,0.5037309357092321,0.20166681519242724,0.1686147788818724
CartPole-v1,20,8.0,kahkm_nlms,kahkm_association,20,0.5774223832269445,0.08885661585167004,0.1159748249084952
CartPole-v1,20,8.0,kahkm_nlms,kahkm_association,5,0.4832505287240319,0.23340703615271174,0.2393694560232003
CartPole-v1,20,8.0,kahkm_nlms,kahkm_association,50,0.6934168432205661,-0.0815538083607481,0.06040498735274449
CartPole-v1,20,8.0,kahkm_nlms_simplex_project_each_step,kahkm_association,1,0.37781676863499036,0.4005469004985427,6.661338147750939e-16
CartPole-v1,20,8.0,kahkm_nlms_simplex_project_each_step,kahkm_association,10,0.5009792136065893,0.20602785580792038,4.440892098500626e-16
CartPole-v1,20,8.0,kahkm_nlms_simplex_project_each_step,kahkm_association,20,0.5798790266151432,0.08498015654668101,4.440892098500626e-16
CartPole-v1,20,8.0,kahkm_nlms_simplex_project_each_step,kahkm_association,5,0.4687201283034211,0.25645699070472205,6.661338147750939e-16
CartPole-v1,20,8.0,kahkm_nlms_simplex_project_each_step,kahkm_association,50,0.6974003679271672,-0.08776709313922759,6.661338147750939e-16
CartPole-v1,20,12.0,kahkm_nlms,kahkm_association,1,0.5135223003287476,0.28683652904686296,0.4256542297516934
CartPole-v1,20,12.0,kahkm_nlms,kahkm_association,10,0.7077282836120964,0.01861398560428784,0.26946426853511984
CartPole-v1,20,12.0,kahkm_nlms,kahkm_association,20,0.7993359295393074,-0.10381119495473135,0.24945567296112328
CartPole-v1,20,12.0,kahkm_nlms,kahkm_association,5,0.6515433032282821,0.09561855868980818,0.3846732931280484
CartPole-v1,20,12.0,kahkm_nlms,kahkm_association,50,0.9631075869675145,-0.3146182561717661,0.21139692602108046
CartPole-v1,20,12.0,kahkm_nlms_simplex_project_each_step,kahkm_association,1,0.4960889139262834,0.3110474627283979,6.661338147750939e-16
CartPole-v1,20,12.0,kahkm_nlms_simplex_project_each_step,kahkm_association,10,0.7341531868802981,-0.018028651265918683,5.551115123125783e-16
CartPole-v1,20,12.0,kahkm_nlms_simplex_project_each_step,kahkm_association,20,0.8307485059937948,-0.14718914441437647,6.661338147750939e-16
CartPole-v1,20,12.0,kahkm_nlms_simplex_project_each_step,kahkm_association,5,0.6566937027064579,0.08846949326266518,6.661338147750939e-16
CartPole-v1,20,12.0,kahkm_nlms_simplex_project_each_step,kahkm_association,50,0.9424202742055392,-0.286380581174668,6.661338147750939e-16
CartPole-v1,30,2.0,kahkm_nlms,kahkm_association,1,0.15681471832055532,0.16793279971302388,0.0010477866900504384
CartPole-v1,30,2.0,kahkm_nlms,kahkm_association,10,0.1594657895243425,0.15215205510145402,3.552713678800501e-15
CartPole-v1,30,2.0,kahkm_nlms,kahkm_association,20,0.1638480004331188,0.12763014302847175,4.440892098500626e-15
CartPole-v1,30,2.0,kahkm_nlms,kahkm_association,5,0.16860522044253626,0.10466324642571923,1.7763568394002505e-15
CartPole-v1,30,2.0,kahkm_nlms,kahkm_association,50,0.16940343028988356,0.09117166203516258,1.1102230246251565e-14
CartPole-v1,30,2.0,kahkm_nlms_simplex_project_each_step,kahkm_association,1,0.15681448293834008,0.1679340486635239,6.661338147750939e-16
CartPole-v1,30,2.0,kahkm_nlms_simplex_project_each_step,kahkm_association,10,0.1594650564167745,0.15215595288885275,5.551115123125783e-16
CartPole-v1,30,2.0,kahkm_nlms_simplex_project_each_step,kahkm_association,20,0.16384739091840483,0.1276333882451508,6.661338147750939e-16
