experiment,random_state,n_steps,dt,data_seed,train_fraction,n_train,n_test_snapshots,state_dim,n_clusters,effective_regimes,subspace_dim,Nb,omega,tau,beta,nlms_epochs,rollout_mode,horizon,n_start_points,relative_association_error,association_r2,simplex_violation
04_duffing_kahkm_projection_diagnostics,1,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,row_stochastic_free,1,300,1.3469278294496898e-05,0.9847574753496837,4.440892098500626e-16
04_duffing_kahkm_projection_diagnostics,1,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,row_stochastic_free,2,299,5.252308048947857e-05,0.9404700450718427,6.661338147750939e-16
04_duffing_kahkm_projection_diagnostics,1,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,row_stochastic_free,5,296,0.0003145849887908903,0.6413960962225901,6.661338147750939e-16
04_duffing_kahkm_projection_diagnostics,1,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,row_stochastic_free,10,291,0.001184963136069126,-0.3721220311525315,1.1102230246251565e-15
04_duffing_kahkm_projection_diagnostics,1,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,row_stochastic_free,20,281,0.004227474958485103,-4.201052164508472,1.5543122344752192e-15
04_duffing_kahkm_projection_diagnostics,1,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,row_stochastic_free,50,251,0.01904947308564435,-28.944459627444807,3.3306690738754696e-15
04_duffing_kahkm_projection_diagnostics,1,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,row_stochastic_free,100,201,0.046015647238402006,-92.6853033832353,6.8833827526759706e-15
04_duffing_kahkm_projection_diagnostics,1,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,row_stochastic_free,200,101,0.08668898949644702,-616.3034645411066,1.2434497875801753e-14
04_duffing_kahkm_projection_diagnostics,2,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,raw_free,1,300,1.6841944833138797e-05,0.9864725608795796,0.00014528005961627062
04_duffing_kahkm_projection_diagnostics,2,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,raw_free,2,299,3.119015917171617e-05,0.9749122439810834,0.000295764339753809
04_duffing_kahkm_projection_diagnostics,2,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,raw_free,5,296,8.506060865648504e-05,0.9312302269154602,0.0007422387239295968
04_duffing_kahkm_projection_diagnostics,2,1200,0.03,1,0.75,900,300,2,15,15,4,100,12.0,1e-06,0.1,20,raw_free,10,291,0.00019159207086161717,0.8430537549677833,0.001454747356985549
