task,regime,count,mass_fraction,mean_membership,reward_mean,termination_rate,truncation_rate,terminal_risk_within_25,empirical_persistence,learned_persistence,state0_mean,state0_std,state1_mean,state1_std,action_0_rate,action_1_rate,action_2_rate
MountainCar-v0,90,1,0.0019157088122605363,0.015794244836422975,-1.0,0.0,0.0,0.0,0.0,0.9992935650765531,0.15853366255760193,0.0,0.029866816475987434,0.0,0.0,0.0,1.0
MountainCar-v0,91,2,0.0038314176245210726,0.01423547778956564,-1.0,0.0,0.0,0.0,0.0,0.9993952840608644,-0.8306349515914917,0.008466482162475586,0.03801985643804073,0.004069743677973747,0.0,0.5,0.5
MountainCar-v0,92,5,0.009578544061302681,0.01359575122415443,-1.0,0.0,0.0,0.0,0.4,0.9991769453221049,-0.34308201670646665,0.0076473710266562215,-0.022518295235931872,0.013673606697697715,0.8,0.2,0.0
MountainCar-v0,93,4,0.007662835249042145,0.01327708339005309,-1.0,0.0,0.0,0.0,0.0,0.9996051420396058,-0.7043280899524689,0.013365110465931015,0.04786438774317503,0.0052350005735663065,0.0,0.0,1.0
MountainCar-v0,94,4,0.007662835249042145,0.016658489495467946,-1.0,0.0,0.0,0.0,0.5,0.9997238062098817,-1.1068973243236542,0.006807108657158971,0.011656568618491292,0.007103450114623062,0.0,0.0,1.0
MountainCar-v0,95,0,0.0,nan,nan,nan,nan,nan,0.0,0.999092056797975,nan,nan,nan,nan,nan,nan,nan
MountainCar-v0,96,3,0.005747126436781609,0.014536463025067016,-1.0,0.0,0.0,0.0,0.6666666666666666,0.9996479999647125,-0.16052822520335516,0.03266869736817869,-0.038523529966672264,0.0022833496416960917,0.6666666666666666,0.3333333333333333,0.0
MountainCar-v0,97,4,0.007662835249042145,0.013071956902762947,-1.0,0.0,0.0,0.0,0.0,0.999505826524755,-0.6244698613882065,0.0077159227621992526,0.04433539230376482,0.012296378264539307,0.25,0.0,0.75
MountainCar-v0,98,5,0.009578544061302681,0.01468158752637056,-1.0,0.0,0.0,0.0,0.2,0.9997746622537939,-0.9005307078361511,0.007989756728396845,-0.02956669293344021,0.013130803663744027,1.0,0.0,0.0
MountainCar-v0,99,4,0.007662835249042145,0.013061481657682955,-1.0,0.0,0.0,0.0,0.0,0.999426132799512,-0.5719785243272781,0.0051898770506958,0.0459667737595737,0.011650174006817293,0.0,0.25,0.75
