config_name,n_clusters,omega,n_train_trajectories,replicate,train_seeds,test_seeds,horizon,n_eval_starts,relative_association_error,association_r2,simplex_violation,train_closure_error,train_association_r2,fit_seconds
clean_tuned,15,0.5,3,0,0 1 2,100 101 102,100,2103,0.025886424278739488,0.5364707868259432,3.930189507173054e-14,0.00040501875348353044,0.9925419996203727,1.5231428146362305
clean_tuned,15,0.5,3,0,0 1 2,100 101 102,200,1803,0.02913987046597115,0.46153459413632225,5.417888360170764e-14,0.00040501875348353044,0.9925419996203727,1.5231428146362305
clean_tuned,15,0.5,3,1,1000 1001 1002,100 101 102,1,2400,0.0005280804996947872,0.9907157964418146,7.771561172376096e-16,0.0005076672084315988,0.991048018615859,1.4712121486663818
clean_tuned,15,0.5,3,1,1000 1001 1002,100 101 102,10,2373,0.005094535548380343,0.9106212460959351,4.773959005888173e-15,0.0005076672084315988,0.991048018615859,1.4712121486663818
clean_tuned,15,0.5,3,1,1000 1001 1002,100 101 102,50,2253,0.017657094109062712,0.6949350293613513,1.432187701766452e-14,0.0005076672084315988,0.991048018615859,1.4712121486663818
clean_tuned,15,0.5,3,1,1000 1001 1002,100 101 102,100,2103,0.023717958619937692,0.5987282584509096,2.3314683517128287e-14,0.0005076672084315988,0.991048018615859,1.4712121486663818
clean_tuned,15,0.5,3,1,1000 1001 1002,100 101 102,200,1803,0.029073490236974833,0.4900994872038723,3.774758283725532e-14,0.0005076672084315988,0.991048018615859,1.4712121486663818
clean_tuned,15,0.5,3,2,2000 2001 2002,100 101 102,1,2400,0.0003937860208290679,0.9927103809558333,8.881784197001252e-16,0.00038299577714333435,0.9929585646487025,1.4571688175201416
clean_tuned,15,0.5,3,2,2000 2001 2002,100 101 102,10,2373,0.003953051325207894,0.9269812559798867,4.884981308350689e-15,0.00038299577714333435,0.9929585646487025,1.4571688175201416
clean_tuned,15,0.5,3,2,2000 2001 2002,100 101 102,50,2253,0.017457704679456124,0.6821939474361582,1.865174681370263e-14,0.00038299577714333435,0.9929585646487025,1.4571688175201416
clean_tuned,15,0.5,3,2,2000 2001 2002,100 101 102,100,2103,0.026283610799499386,0.5309228536864319,3.2085445411667024e-14,0.00038299577714333435,0.9929585646487025,1.4571688175201416
clean_tuned,15,0.5,3,2,2000 2001 2002,100 101 102,200,1803,0.02882299685524748,0.4684670926693779,3.375077994860476e-14,0.00038299577714333435,0.9929585646487025,1.4571688175201416
clean_tuned,15,0.5,5,0,0 1 2 3 4,100 101 102,1,2400,0.0003020971202484452,0.9946787118490632,8.881784197001252e-16,0.0003008598563199441,0.9947051581387312,2.710599899291992
