estimator,horizon,n_starts,relative_association_error,association_r2,simplex_violation,seed
nlms,100,201,0.000894792996924013,-1.4268540092573034,6.772360450213455e-15,2
nlms,200,101,0.000907067679411708,-6.99940805378732,1.2212453270876722e-14,2
ols,1,300,1.6371288621405573e-05,0.9840612935672668,6.342397429888539e-05,2
ols,2,299,3.53304805188308e-05,0.9655507113516614,0.00011470015741431446,2
ols,5,296,0.0001039995958566044,0.8980580736263024,0.0001599834724182389,2
ols,10,291,0.000251026513160111,0.7513172694652495,2.7533531010703882e-14,2
ols,20,281,0.0005573297065408658,0.43045406988614854,5.46229728115577e-14,2
ols,50,251,0.0009170076881190577,-0.1346244809356849,1.3633538742396922e-13,2
ols,100,201,0.0008120898104508597,-1.2025467556682696,2.702282841937631e-13,2
ols,200,101,0.001134483136938796,-9.004979505388128,5.424549698318515e-13,2
row_stochastic_nlms,1,300,4.5880463944701e-05,0.9553318457255684,4.440892098500626e-16,2
row_stochastic_nlms,2,299,0.00015207842598360678,0.8517146238330403,4.440892098500626e-16,2
row_stochastic_nlms,5,296,0.0008110942203278914,0.20495357111960566,5.551115123125783e-16,2
row_stochastic_nlms,10,291,0.002945322231045118,-1.9178223666510794,8.881784197001252e-16,2
row_stochastic_nlms,20,281,0.0104400341201961,-9.668871358593982,1.1102230246251565e-15,2
row_stochastic_nlms,50,251,0.04924676899985174,-59.93361095895386,1.887379141862766e-15,2
row_stochastic_nlms,100,201,0.13257230214524954,-358.56207087413253,3.219646771412954e-15,2
row_stochastic_nlms,200,101,0.28803946096839406,-2539.2130802119605,5.218048215738236e-15,2
ridge_1e-10,1,300,1.637128861326665e-05,0.9840612935751907,6.342397260778495e-05,2
ridge_1e-10,2,299,3.533048047111118e-05,0.9655507113981908,0.00011470015373416962,2
ridge_1e-10,5,296,0.00010399959529014855,0.8980580741815507,0.00015998346151224448,2
ridge_1e-10,10,291,0.0002510265095572239,0.7513172730344971,5.2520210402917655e-12,2
ridge_1e-10,20,281,0.0005573296909316171,0.4304540858375395,9.89719417532342e-12,2
ridge_1e-10,50,251,0.0009170076244920473,-0.1346244022092309,3.8999803386730036e-11,2
ridge_1e-10,100,201,0.0008120897348860408,-1.2025465507216677,6.184397438602218e-11,2
ridge_1e-10,200,101,0.0011344830062079848,-9.004978352476249,5.81490411377672e-11,2
ridge_1e-08,1,300,1.637128780767626e-05,0.9840612943594947,6.342380511136484e-05,2
ridge_1e-08,2,299,3.533047574756229e-05,0.9655507160039277,0.00011469978925044181,2
ridge_1e-08,5,296,0.00010399953921601136,0.8980581291462408,0.00015998238148831547,2
ridge_1e-08,10,291,0.00025102615289552453,0.75131762636612,5.24821519576335e-10,2
ridge_1e-08,20,281,0.0005573281457273309,0.4304556649114739,9.90131532319083e-10,2
ridge_1e-08,50,251,0.0009170013257338385,-0.13461660868104586,3.901363676561687e-09,2
ridge_1e-08,100,201,0.000812082254758816,-1.202526263150344,6.186433698651683e-09,2
ridge_1e-08,200,101,0.00113447006519647,-9.004864226006873,5.813723058523124e-09,2
ridge_1e-06,1,300,1.6371207492292163e-05,0.9840613725526877,6.340705594551615e-05,2
ridge_1e-06,2,299,3.533000437847504e-05,0.965551175616407,0.00011466334240634957,2
ridge_1e-06,5,296,0.00010399393838765982,0.8980636191601851,0.00015987438764836345,2
ridge_1e-06,10,291,0.00025099051763920324,0.7513529289034246,5.24286989378453e-08,2
ridge_1e-06,20,281,0.0005571737745378157,0.4306134197945949,9.887514917927831e-08,2
ridge_1e-06,50,251,0.0009163727182595867,-0.1338388252028635,3.903564066431997e-07,2
ridge_1e-06,100,201,0.0008113359661988061,-1.2005021822845472,6.19133732504551e-07,2
ridge_1e-06,200,101,0.0011331766939875337,-8.99345801641509,5.770323794340726e-07,2
ridge_0.0001,1,300,1.6365595069232906e-05,0.9840668366774481,6.173690779373429e-05,2
ridge_0.0001,2,299,3.5292621474806086e-05,0.9655876261378857,0.0001110339217168725,2
ridge_0.0001,5,296,0.00010349840286006848,0.8985493503387842,0.00014915998788154789,2
ridge_0.0001,10,291,0.00024772618578884626,0.7545867823625633,4.73090119035291e-06,2
ridge_0.0001,20,281,0.0005431509764396552,0.4449435864659276,8.675916480238577e-06,2
ridge_0.0001,50,251,0.0008646890561543479,-0.06989001752242197,4.089102878490625e-05,2
ridge_0.0001,100,201,0.0007509546674406087,-1.0367362638215774,6.562080607086518e-05,2
ridge_0.0001,200,101,0.001009915528840536,-7.906420764866674,5.722500234972561e-05,2
ridge_0.01,1,300,3.0196321960121365e-05,0.9706015621493973,7.987371155615541e-05,2
ridge_0.01,2,299,7.931370322016654e-05,0.9226644920794698,0.0001740517757855553,2
ridge_0.01,5,296,0.0002636036349878282,0.7416118579266406,0.0004636787829462863,2
ridge_0.01,10,291,0.0005909013261327937,0.4146157973138803,0.0008533270245205671,2
ridge_0.01,20,281,0.0012043263073978408,-0.2307241814988179,0.0013410885234946823,2
ridge_0.01,50,251,0.002574881211051898,-2.185931040069424,0.0023388827386653377,2
ridge_0.01,100,201,0.003998624490559552,-9.84505344787916,0.004480992768928549,2
ridge_0.01,200,101,0.007007943765902661,-60.802887561607896,0.010265087196084988,2
