estimator,horizon,n_runs,relative_association_error_mean,relative_association_error_std,relative_association_error_min,relative_association_error_max,association_r2_mean,association_r2_std,simplex_violation_mean,simplex_violation_max
ridge_0.01,1,3,1.6216205811915198e-05,1.2111411679018774e-05,8.904344660338936e-06,3.0196321960121365e-05,0.9820335074589345,0.010005333731428936,0.00019551046197112873,0.000305770840639347
ridge_0.01,2,3,4.653608025580319e-05,2.839642393765967e-05,2.938735624456191e-05,7.931370322016654e-05,0.9474155178977238,0.022051707779663327,0.00038210315697855034,0.0005989379472324403
ridge_0.01,5,3,0.0001706546733171577,8.049717546869506e-05,0.00012377627207375383,0.0002636036349878282,0.8021106196242608,0.05832344437902296,0.0008662324352531779,0.001360147635145658
ridge_0.01,10,3,0.0004126736559650168,0.00015436590220395199,0.00032132264561650576,0.0005909013261327937,0.508978574942126,0.10541262247463933,0.0014588327582179307,0.0022902120921882573
ridge_0.01,20,3,0.0008921372980142535,0.0002750285039420052,0.0006856027814702766,0.0012043263073978408,-0.11357675927901818,0.1339050176259946,0.0021337578573352965,0.0032485500961771563
ridge_0.01,50,3,0.0019859264818869863,0.0005764954954790576,0.001422755422638358,0.002574881211051898,-2.1789051266983868,0.09437901966339196,0.003309149759077664,0.0047052126565766406
ridge_0.01,100,3,0.0036628405749918533,0.0007131887784168416,0.0028437381249750964,0.00414615910944091,-8.427395589801264,1.2586359865670649,0.005434839088807671,0.007221397992024814
ridge_0.01,200,3,0.0063230291447053414,0.0009754765992785679,0.0052061536221613015,0.007007943765902661,-46.763818385067346,14.210969063181047,0.01037660841068259,0.012479446185697851
ridge_1e-06,1,3,6.6868219902057464e-06,8.386974132924672e-06,1.8155914778617204e-06,1.6371207492292163e-05,0.9930494697006033,0.007791175182010114,0.0001365873343538962,0.00022244374060667122
ridge_1e-06,2,3,1.6060728220291264e-05,1.668931212790318e-05,6.192880884706747e-06,3.533000437847504e-05,0.9828129459792535,0.014983109552137523,0.0002747430571716165,0.000461039893601766
ridge_1e-06,5,3,5.798316189599261e-05,3.992751477451353e-05,3.243557557676284e-05,0.00010399393838765982,0.9348829874466671,0.03212867498866527,0.0006573774962644837,0.0012259937082489277
ridge_1e-06,10,3,0.0001668098886845519,7.445406607376048e-05,0.00010959924892913191,0.00025099051763920324,0.8051087439049208,0.046950086204765554,0.0011880956159972384,0.0025536000950911347
ridge_1e-06,20,3,0.0004666212575996263,0.0001005187916415685,0.0003584624997352289,0.0005571737745378157,0.4125249295931564,0.01568427095458977,0.0019365916480010316,0.004497897524253652
ridge_1e-06,50,3,0.0008853428263933473,8.747352984461987e-05,0.0007865843955406573,0.0009530713653797978,-0.479872710920187,0.33726112532077296,0.0012009611215004843,0.002583540562522329
ridge_1e-06,100,3,0.0008346574798602802,0.00011008073448349729,0.000738106183966612,0.0009545302894154227,-1.1595908736180862,0.19894485536181722,0.0017319874282906225,0.003096241634203689
ridge_1e-06,200,3,0.0008045139933258892,0.00037985986764569013,0.00038862918755637314,0.0011331766939875337,-5.27856402743689,3.7511025908953877,0.0010942405273568576,0.0027824938657330794
ridge_1e-08,1,3,6.686869059485004e-06,8.387002999471519e-06,1.8156003425629042e-06,1.637128780767626e-05,0.9930494194654121,0.007791198395871638,0.00013658935860278815,0.00022244029238439097
ridge_1e-08,2,3,1.6061015353533526e-05,1.6689473564331208e-05,6.19294003287675e-06,3.533047574756229e-05,0.9828126373164361,0.014983230435993552,0.00027474972832731076,0.0004610357868899171
ridge_1e-08,5,3,5.7986623350537654e-05,3.992948383241314e-05,3.243608222525965e-05,0.00010399953921601136,0.9348792686369863,0.032129947152336406,0.0006574133511126583,0.0012260103816354897
ridge_1e-08,10,3,0.00016683223063169243,7.446846415280128e-05,0.00010959955862612084,0.00025102615289552453,0.8050848157545653,0.04695755646434561,0.0011881250747522584,0.0025537452350829675
ridge_1e-08,20,3,0.00046673902835965667,0.00010061191642576911,0.00035845267189408246,0.0005573281457273309,0.41239218726926036,0.015656467361372533,0.001936747092101905,0.004498473343412347
ridge_1e-08,50,3,0.0008857407702014662,8.7643519461779e-05,0.0007867530107404564,0.0009534679741301033,-0.48046894847647303,0.337067300750121,0.0012004310607568668,0.0025831008005524473
ridge_1e-08,100,3,0.0008353553423712033,0.00011037617588039779,0.0007384715067700243,0.0009555122655847696,-1.161317200100502,0.198575993834286,0.0017323191142518055,0.003098960437262009
ridge_1e-08,200,3,0.0008053152934347354,0.0003804283385384258,0.0003888082091597181,0.00113447006519647,-5.2849598414743495,3.7562343579223345,0.0010930777941524385,0.002783617890634367
ridge_1e-10,1,3,6.686869531809688e-06,8.38700328883455e-06,1.8156004323136998e-06,1.637128861326665e-05,0.9930494189611924,0.0077911986284504246,0.00013658937884724706,0.00022244025790585064
ridge_1e-10,2,3,1.606101823144853e-05,1.6689475181545732e-05,6.192940628694602e-06,3.533048047111118e-05,0.9828126342222735,0.014983231646648434,0.00027474979504531894,0.00046103574583389637
ridge_1e-10,5,3,5.7986658008792246e-05,3.99295035429511e-05,3.243608731768003e-05,0.00010399959529014855,0.9348792313989266,0.03212995988701602,0.0006574137097015358,0.0012260105484329404
ridge_1e-10,10,3,0.00016683245425729576,7.446860824406333e-05,0.00010959956181795607,0.0002510265095572239,0.8050845762379946,0.04695763126007924,0.0011881253692500044,0.0025537466868196922
ridge_1e-10,20,3,0.0004667402071969903,0.00010061284852105047,0.00035845257394469455,0.0005573296909316171,0.41239085851195895,0.015656195053828165,0.00193674864655743,0.004498479103357205
ridge_1e-10,50,3,0.0008857447575065262,8.764522130347718e-05,0.0007867547031145467,0.0009534719449129846,-0.4804749233096843,0.3370653616169593,0.001200425757209791,0.002583096398161326
ridge_1e-10,100,3,0.0008353623360661733,0.00011037913356734857,0.0007384751707476563,0.0009555221025648229,-1.1613345019730594,0.19857230872706727,0.0017323224398575338,0.0030989876535507804
ridge_1e-10,200,3,0.0008053233219309421,0.0003804340163118702,0.00038881002141073106,0.0011344830062079848,-5.28502390888591,3.756285637333192,0.0010930661423274948,0.002783629163587195
row_stochastic_nlms,1,3,3.0121072608174727e-05,1.622401079012895e-05,1.3469278294496904e-05,4.5880463944701e-05,0.9641287961902082,0.017929285335033542,4.440892098500626e-16,4.440892098500626e-16
row_stochastic_nlms,2,3,0.00010872118384208406,5.100473009040946e-05,5.252308048947864e-05,0.00015207842598360678,0.8681456936993662,0.06566905959402516,5.181040781584064e-16,6.661338147750939e-16
row_stochastic_nlms,5,3,0.000617809560670418,0.0002658861456994531,0.0003145849887908897,0.0008110942203278914,0.2366826218702266,0.38981861758606506,6.291263806209221e-16,6.661338147750939e-16
row_stochastic_nlms,10,3,0.0022860922830823817,0.0009597771681006406,0.0011849631360691297,0.002945322231045118,-1.8744644928073064,1.4811395620914989,8.141635513917814e-16,8.881784197001252e-16
row_stochastic_nlms,20,3,0.008102930270615849,0.003379921116119168,0.004227474958485103,0.0104400341201961,-9.644962031688001,5.431994668372444,1.1842378929335002e-15,1.7763568394002505e-15
row_stochastic_nlms,50,3,0.03713662157239071,0.01596128366954157,0.019049473085644378,0.04924676899985174,-62.31856236406421,34.62823038931038,2.0354088784794535e-15,3.552713678800501e-15
row_stochastic_nlms,100,3,0.09512430765624154,0.044440881793610144,0.04601564723840206,0.13257230214524954,-262.6824309417436,147.6233902600062,3.811765717879704e-15,6.661338147750939e-15
row_stochastic_nlms,200,3,0.19476976396352794,0.10148905902700844,0.08668898949644725,0.28803946096839406,-1499.5182634087198,970.9582094609981,7.364479396680205e-15,1.2878587085651816e-14
