experiment,status,seed,n_steps,dt,mu,train_fraction,n_train,n_test,state_dim,n_clusters,effective_regimes,subspace_dim,Nb,omega,tau,beta,nlms_epochs,train_closure_error,train_association_r2,test_closure_error,test_association_r2,raw_predicted_simplex_violation,projected_stochastic_simplex_violation,nlms_history_first,nlms_history_last,B_raw_spectral_radius,B_raw_min_entry,B_raw_max_entry,B_raw_row_sum_min,B_raw_row_sum_max,fit_seconds,eval_seconds,total_job_seconds,error_message
09_vanderpol_kahkm_sensitivity,ok,0,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,4.0,1e-06,0.1,20,0.0013430629646509124,0.998327216624486,0.0014470293350556064,0.998176928445678,0.01976274196240334,7.771561172376096e-16,0.0016912652927259637,0.0013430629646509124,1.000017625896604,-0.06264740596941246,1.009694837790589,0.9999999999999961,1.0000000000000027,0.5788280963897705,0.033056020736694336,0.6474199295043945,
09_vanderpol_kahkm_sensitivity,ok,1,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,4.0,1e-06,0.1,20,0.0011201136238125817,0.9986016530434275,0.0010162159777226476,0.9986960478502824,0.020310183499277962,6.661338147750939e-16,0.0014928692705376424,0.0011201136238125817,0.9999999999999999,-0.07811756647695083,1.0047650681944447,0.9999999999999984,1.000000000000001,0.556877851486206,0.034293174743652344,0.6278319358825684,
09_vanderpol_kahkm_sensitivity,ok,2,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,4.0,1e-06,0.1,20,0.0017222110189650311,0.9978631204254022,0.0014714810814083097,0.9981181964611551,0.0196536102946047,6.661338147750939e-16,0.0020804488518732732,0.0017222110189650311,0.9999999999999971,-0.06448152010370549,1.0091699025276468,0.9999999999999978,1.0000000000000016,0.5741782188415527,0.03332924842834473,0.6429870128631592,
09_vanderpol_kahkm_sensitivity,ok,0,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,6.0,1e-06,0.1,20,0.0021890264281461645,0.9974140529496653,0.0021461536537651007,0.9974411102908942,0.02192807043648531,6.661338147750939e-16,0.0022574708887130573,0.0021890264281461645,1.0000277024224815,-0.054787290408289606,1.0054363781617899,0.9999999999999988,1.0000000000000016,0.5746266841888428,0.033265113830566406,0.6435270309448242,
09_vanderpol_kahkm_sensitivity,ok,1,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,6.0,1e-06,0.1,20,0.001765269631194396,0.9979114704278574,0.0016121287416826955,0.9980459411928269,0.02350332746584102,7.771561172376096e-16,0.001887446583240807,0.001765269631194396,0.9999999999999986,-0.06878905167278634,0.9943335300577997,0.9999999999999986,1.0000000000000018,0.5573601722717285,0.03497576713562012,0.6278672218322754,
09_vanderpol_kahkm_sensitivity,ok,2,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,6.0,1e-06,0.1,20,0.0023367133210116923,0.9972485814977051,0.0020673174420112045,0.9975006369452261,0.02171775966640805,6.661338147750939e-16,0.002415116718022893,0.0023367133210116923,0.9999999999999991,-0.05591560187461113,0.9966187683009622,0.9999999999999984,1.0000000000000013,0.5992169380187988,0.033965110778808594,0.669335126876831,
09_vanderpol_kahkm_sensitivity,ok,0,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,8.0,1e-06,0.1,20,0.00364006770761001,0.9957938267198465,0.003517703574846184,0.9959031580712607,0.02449246638751931,8.881784197001252e-16,0.0035828246277034813,0.00364006770761001,1.0,-0.04642416597019867,0.9992261206104736,0.9999999999999989,1.0000000000000009,0.8018090724945068,0.03815102577209473,0.8756809234619141,
09_vanderpol_kahkm_sensitivity,ok,1,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,8.0,1e-06,0.1,20,0.003086967126389533,0.9964291329498506,0.0028740276821102436,0.9966017916817531,0.022308655347809143,8.881784197001252e-16,0.003065937902776974,0.003086967126389533,1.000000000000001,-0.059357990644766684,0.9886854818390289,0.9999999999999994,1.0000000000000013,0.598635196685791,0.034709930419921875,0.6738300323486328,
09_vanderpol_kahkm_sensitivity,ok,2,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,8.0,1e-06,0.1,20,0.003517069384320904,0.9959466693572283,0.003227882334786719,0.9961904132276962,0.022497208329632472,7.771561172376096e-16,0.0034681621694709745,0.003517069384320904,1.0000000000000007,-0.04813955056092247,0.9912862402378134,0.9999999999999993,1.0000000000000007,0.5751240253448486,0.032920122146606445,0.6456398963928223,
09_vanderpol_kahkm_sensitivity,ok,0,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,12.0,1e-06,0.1,20,0.0064494873497831385,0.9927068703797768,0.006274914189342584,0.9928600510142612,0.026493707346014337,1.1102230246251565e-15,0.006356206785830015,0.0064494873497831385,0.9999999999999998,-0.03537939345255134,0.9884721595817285,0.9999999999999989,1.0000000000000004,0.5731499195098877,0.033052921295166016,0.6418740749359131,
09_vanderpol_kahkm_sensitivity,ok,1,1600,0.02,1.0,0.75,1200,400,2,15,15,4,100,12.0,1e-06,0.1,20,0.005779760529240547,0.9934624006841638,0.005499707866493726,0.9936584267194636,0.02955041028974652,8.881784197001252e-16,0.005698729939703261,0.005779760529240547,0.9999999999999996,-0.04675254579710259,0.9873961286041398,0.999999999999999,1.0000000000000016,0.5533761978149414,0.033824920654296875,0.6229801177978516,
