n_clusters,omega,horizon,n_runs,relative_association_error_mean,relative_association_error_std,association_r2_mean,association_r2_std,simplex_violation_mean,simplex_violation_max,train_closure_error_mean,fit_seconds_mean
10,6.0,200,3,0.00010595444623795957,9.130993925970428e-05,-1.7011089597968776,2.232468879912667,2.9464628173262753e-05,8.839388448159658e-05,0.00016385466589507444,0.5601472854614258
10,8.0,1,3,1.6545111780377036e-07,1.100461193129452e-07,0.9990437295007907,0.0005864228330180762,4.810966440042345e-16,5.551115123125783e-16,0.000271264759374638,0.5582741101582845
10,8.0,10,3,1.2881340027393956e-05,8.275129684647526e-06,0.9211382558712379,0.045578362178666766,7.82383345068313e-06,2.3471500349273833e-05,0.000271264759374638,0.5582741101582845
10,8.0,50,3,0.00010281703555041579,5.89057235236544e-05,0.2399919642843238,0.39665999747465847,2.0250589930269786e-05,6.075176977992917e-05,0.000271264759374638,0.5582741101582845
10,8.0,100,3,0.0001236572198407565,8.726493814502108e-05,-0.27083657157571794,0.8792613026954496,2.443178979392701e-05,7.329536936146395e-05,0.000271264759374638,0.5582741101582845
10,8.0,200,3,0.00017167066179969194,0.0001675444400705733,-1.8480558544080588,2.7785086836525212,0.00020991383796570745,0.0005393698360115714,0.000271264759374638,0.5582741101582845
10,10.0,1,3,2.378327629691978e-07,1.5247401057021162e-07,0.9990010367613525,0.0006033298760146585,1.7641775666766795e-07,5.292532691148254e-07,0.0004339087777940388,0.5578018029530843
10,10.0,10,3,1.8116864984108758e-05,1.1402067384185747e-05,0.9187675199348747,0.048868091858211386,4.763543866565336e-05,0.00013533084615355761,0.0004339087777940388,0.5578018029530843
10,10.0,50,3,0.00014186684333833988,9.830871851948734e-05,0.22797165963974572,0.5317535026852513,8.137508599641402e-05,0.0001923658642381311,0.0004339087777940388,0.5578018029530843
10,10.0,100,3,0.00017666328867065167,0.00014498720526911555,-0.345530651949441,1.135256110177191,8.67034062834043e-05,0.00018785539990692692,0.0004339087777940388,0.5578018029530843
10,10.0,200,3,0.00024085712069671792,0.00025237626177599835,-1.9899025986180063,3.1821156010142726,0.0002700307187680233,0.0006519917014815177,0.0004339087777940388,0.5578018029530843
10,12.0,1,3,3.022796308585074e-07,1.9692720118316345e-07,0.9989846457084366,0.0006569809830093277,6.017135221858291e-08,1.80514055656548e-07,0.0006352038493938441,0.5599813461303711
10,12.0,10,3,2.295998862220937e-05,1.534205030964278e-05,0.9170022280232634,0.05734291626013621,4.689034708482682e-05,0.0001198402110735397,0.0006352038493938441,0.5599813461303711
10,12.0,50,3,0.00018096062316835893,0.00014489929964554284,0.20834790179073417,0.654066085181662,5.7782825923166315e-05,0.00013128106328681035,0.0006352038493938441,0.5599813461303711
10,12.0,100,3,0.00022796831973012275,0.00020438192622440233,-0.40536637406362225,1.325550559380486,7.541362277480309e-05,0.00012936432220213406,0.0006352038493938441,0.5599813461303711
10,12.0,200,3,0.00030589249383371697,0.0003331824054810449,-2.0832036442009327,3.4401623111824895,0.00021216963973566115,0.0005227505053842571,0.0006352038493938441,0.5599813461303711
10,16.0,1,3,4.6021006820728897e-07,3.315403280625666e-07,0.9988392110942584,0.0008905736463920896,1.5275859561968603e-06,4.2456423368774235e-06,0.0010882862689135945,0.5580677191416422
10,16.0,10,3,3.54719931646523e-05,2.6911086939194888e-05,0.9031445421367256,0.080766811537725,0.0001526271619329017,0.00041380435036730563,0.0010882862689135945,0.5580677191416422
10,16.0,50,3,0.00027190151145417476,0.00024271042749956072,0.11774852237738165,0.8336591429543222,0.00020441088251891827,0.000594444493020475,0.0010882862689135945,0.5580677191416422
10,16.0,100,3,0.00032144102379625804,0.00031116055683890007,-0.49287542065386475,1.5519052580803923,0.00023040968788394362,0.0004778691085634885,0.0010882862689135945,0.5580677191416422
10,16.0,200,3,0.0004274801325950158,0.0004540137002803135,-2.22037153762973,3.5737590580845175,0.0002446089604254676,0.0004635550029479654,0.0010882862689135945,0.5580677191416422
10,20.0,1,3,7.017658376674028e-07,5.152158390111979e-07,0.9985339954552297,0.001155630198340043,5.711251591805251e-07,1.472819522859931e-06,0.00154001710378812,0.5557119051615397
10,20.0,10,3,5.4342167293951826e-05,4.1747269368372265e-05,0.8774823915303337,0.10411486113247072,0.00018558245855897638,0.0005309119312549499,0.00154001710378812,0.5557119051615397
10,20.0,50,3,0.00038501480578071265,0.00034100112040157896,-0.013017408675418266,0.9519462156730045,0.00023262232995195748,0.0005339462325707916,0.00154001710378812,0.5557119051615397
10,20.0,100,3,0.0004091528829946789,0.00038875487991706374,-0.5580274629777716,1.6070733652598281,0.00033251439037241414,0.0004849636612261224,0.00154001710378812,0.5557119051615397
10,20.0,200,3,0.0005303910694872897,0.0005181533614052788,-2.2416981597950625,3.358346612480461,0.0003020223450219909,0.0005955762087995461,0.00154001710378812,0.5557119051615397
