rank,n_clusters,omega,selection_objective_mean_error,selection_horizons,E1,E10,E50,E100,E200,E200_std,train_closure_error_mean_h1row,n_runs
42,12,20.0,0.00025826220330141063,1 10 50 100 200,6.53529489196005e-07,5.0900247341396493e-05,0.0003624490012155893,0.000396477283615502,0.0004808309548453694,0.00024600461571830357,0.001542583795228165,3
43,15,12.0,0.00025946623587124655,1 10 50 100 200,2.716776243107985e-07,2.421908919039896e-05,0.0002596568555464949,0.00031279031947134886,0.0007003932375236793,0.00042339226390815333,0.0005826192456688493,3
44,20,12.0,0.0002653340941992659,1 10 50 100 200,3.2384398825499306e-07,2.9485205410153117e-05,0.00029502223908459184,0.0004082118214751936,0.0005936273610381358,0.000429801850253445,0.0006699333852617643,3
45,10,20.0,0.0002759205382788601,1 10 50 100 200,7.017658376674028e-07,5.4342167293951826e-05,0.00038501480578071265,0.0004091528829946789,0.0005303910694872897,0.0005181533614052788,0.00154001710378812,3
46,25,12.0,0.00032615031357307407,1 10 50 100 200,1.9986998768100988e-05,0.00012140482420116875,0.0004754122080260979,0.0004964421336889483,0.0005175054031810544,0.0002452697261169529,0.0006127585479464886,3
47,15,16.0,0.000356473468659421,1 10 50 100 200,5.702844972908689e-07,4.678722580336675e-05,0.00040814669476890426,0.00047584009920847054,0.0008510230390190725,0.0005106212796876969,0.0010610318083052136,3
48,20,16.0,0.00039095495940513666,1 10 50 100 200,6.517447152048287e-07,5.50599875354208e-05,0.0005013307877399644,0.0006084338805724182,0.000789298396462675,0.0005584454139546575,0.0011030707428727332,3
49,15,20.0,0.0004641879267786568,1 10 50 100 200,1.042296716938597e-06,8.180461636934114e-05,0.0006157578874696962,0.0006611177041533897,0.0009612171291839184,0.0006637338250584398,0.001620013350317974,3
50,25,10.0,0.000486938389857681,1 10 50 100 200,3.882601830718808e-05,0.00021328919885554105,0.0007329140130067609,0.0006860958775359736,0.0007635668415829414,0.00045845857853793747,0.000563360082826369,3
51,40,16.0,0.0005118585774314205,1 10 50 100 200,7.136061845823776e-07,6.162334468195655e-05,0.0006464541899784336,0.0008222391535488123,0.0010282625927633179,0.0005043006974725601,0.0014266401024425658,3
